hjd,camera,mag,mag_err,flux,flux_err
2458110.84135,bh,14.669,0.03266,5.206,0.156
2457575.64426,bh,15.685,0.06559,2.04,0.123
2457095.81019,bf,15.534,0.05231,2.717,0.131
2456878.53912,bf,15.41,0.04787,3.048,0.134
2457933.66593,bh,15.607,0.06196,2.194,0.125
2457444.77889,bh,15.893,0.07625,1.686,0.118
2457123.75027,bf,15.594,0.05463,2.572,0.129
2457423.84402,bh,16.015,0.08316,1.506,0.115
2457560.60825,bh,15.451,0.05531,2.532,0.129
2458305.6226,bh,15.177,0.04547,3.258,0.136
2456810.58888,bf,15.664,0.05744,2.413,0.128
2457548.54868,bh,14.968,0.03942,3.953,0.143
2456828.57239,bf,15.66,0.05731,2.421,0.128
2457625.49197,bh,15.514,0.0579,2.389,0.127
2457850.6217,bh,15.937,0.07869,1.618,0.117
2457984.50543,bh,16.243,0.09726,1.221,0.109
2456793.62451,bf,16.029,0.0749,1.725,0.119
2457775.85416,bh,15.991,0.08177,1.541,0.116
2457777.7482,bh,15.884,0.07576,1.699,0.118
2457485.7545,bh,15.406,0.05353,2.64,0.13
2457605.51454,bh,15.269,0.04852,2.995,0.134
2457023.82341,bf,15.628,0.05595,2.496,0.128
2457864.61865,bh,14.449,0.02891,6.371,0.169
2457970.55218,bh,15.682,0.06545,2.048,0.123
2457757.80579,bh,15.249,0.04784,3.049,0.134
2458107.84967,bh,14.611,0.03158,5.492,0.16
2458171.67187,bh,15.553,0.05957,2.305,0.126
2456859.51316,bf,15.766,0.06187,2.198,0.125
2457835.82403,bh,15.467,0.05595,2.496,0.128
2457620.47505,bh,15.519,0.05811,2.379,0.127
2457752.81248,bh,15.191,0.04592,3.219,0.136
2457808.81175,bh,15.336,0.0509,2.815,0.132
2457223.51652,bf,15.687,0.05845,2.361,0.127
2457020.81755,bf,15.529,0.05212,2.731,0.131
2457858.82776,bh,14.596,0.03131,5.567,0.16
2457852.62788,bh,16.086,0.0874,1.411,0.113
2458101.86004,bh,15.182,0.04563,3.246,0.136
2457806.68421,bh,15.271,0.04859,2.988,0.134
2457434.86906,bh,16.353,0.10453,1.103,0.106
2457458.77996,bh,16.183,0.09341,1.291,0.111
2457749.81981,bh,15.246,0.04774,3.057,0.134
2458358.48078,bh,15.661,0.06445,2.088,0.124
2456805.59783,bf,15.788,0.06292,2.152,0.125
2457840.63782,bh,15.938,0.07875,1.617,0.117
2457045.79623,bf,15.609,0.05523,2.537,0.129
2458228.74033,bh,15.702,0.06641,2.009,0.123
2458181.67219,bh,15.19,0.04589,3.22,0.136
2457051.78919,bf,15.532,0.05224,2.723,0.131
2457448.85277,bh,16.233,0.09661,1.232,0.11
2457935.65085,bh,14.951,0.03898,4.014,0.144
2457029.82214,bf,15.766,0.06192,2.195,0.125
2457804.72343,bh,15.509,0.05769,2.399,0.127
