hjd,camera,mag,mag_err,flux,flux_err
2457858.98761,bc,17.18,99.99,0.058,0.103
2458350.50949,bh,18.755,0.12028,0.121,0.013
2457055.06236,bd,17.004,99.99,0.41,0.121
2457436.78808,bg,17.864,99.99,0.183,0.055
2457416.11598,bd,17.117,99.99,0.432,0.109
2457851.87876,bh,18.134,0.1684,0.214,0.033
2456835.58781,bf,17.887,99.99,0.141,0.054
2457440.84695,bh,18.103,0.16977,0.22,0.034
2456631.16002,bd,16.067,99.99,0.033,0.287
2458355.48411,bg,16.851,99.99,0.238,0.14
2457626.48108,bg,17.583,99.99,0.096,0.071
2457453.84323,bh,17.791,0.17693,0.293,0.048
2457565.83354,bc,17.63,99.99,0.17,0.068
2457762.08374,bc,17.417,99.99,0.327,0.083
2457018.10094,bd,17.252,99.99,0.368,0.096
2457195.80914,bc,17.355,99.99,0.147,0.088
2457853.68842,bg,16.693,99.99,0.172,0.161
2457781.07859,bc,17.597,99.99,0.117,0.07
2457163.61133,be,17.506,99.99,0.148,0.076
2457968.55973,bg,17.229,99.99,0.452,0.098
2457476.78545,bg,17.323,99.99,-0.189,0.09
2457039.83632,be,17.449,99.99,0.341,0.08
2458114.12719,bd,17.786,99.99,0.182,0.059
2457849.81329,bh,18.66,0.12957,0.132,0.016
2458207.87562,bc,17.039,99.99,0.093,0.117
2457430.0697,bd,17.622,99.99,0.176,0.069
2458179.99375,bd,16.511,99.99,0.195,0.191
2457168.61476,be,17.507,99.99,0.349,0.076
2456700.98388,bc,16.871,99.99,0.265,0.137
2457132.94032,bc,17.532,99.99,0.042,0.074
2457794.06156,bd,17.126,99.99,0.007,0.108
2457188.59185,bf,17.666,99.99,0.235,0.066
2457422.86162,bh,17.298,0.16538,0.462,0.07
2458335.54809,bh,18.702,99.99,0.067,0.025
2457193.87902,bd,17.382,99.99,0.212,0.086
2458240.83226,bg,16.713,99.99,0.133,0.158
2457070.80051,be,17.733,99.99,0.155,0.062
2457480.75411,bh,18.2,0.16509,0.201,0.031
2457466.89355,bc,17.013,99.99,-0.034,0.12
2456785.80305,bd,17.445,99.99,0.12,0.081
2457851.87863,bg,17.885,99.99,0.232,0.054
2457069.03018,bc,17.511,99.99,0.298,0.076
2456756.83335,bc,17.172,99.99,-0.093,0.104
2457109.78138,bf,17.603,99.99,0.138,0.07
2458283.8735,bd,17.51,99.99,0.005,0.076
2457397.85517,bh,18.116,0.16921,0.218,0.034
2457131.67014,be,17.285,99.99,0.095,0.094
2457437.75345,bg,17.194,99.99,0.367,0.102
2456785.80312,bc,17.445,99.99,0.256,0.081
2457431.0659,bc,17.566,99.99,-0.024,0.072
2457402.07138,bd,17.801,99.99,0.108,0.058
2456850.62966,be,16.699,99.99,0.552,0.16
2456815.82598,bd,17.038,99.99,0.268,0.117
2457568.66301,bh,17.783,0.17695,0.296,0.048
2457002.15568,bc,16.479,99.99,-0.039,0.196
2456632.15479,bc,16.731,99.99,0.505,0.156
2457813.72069,bg,17.868,99.99,0.262,0.055
2457448.89503,bh,18.021,0.17284,0.238,0.038
2457221.76702,bd,17.605,99.99,0.33,0.07
2457893.91506,bd,17.601,99.99,0.228,0.07
2457809.02964,bd,17.551,99.99,0.074,0.073
2456822.85155,bd,17.041,99.99,-0.182,0.117
2458342.53046,bh,18.764,99.99,0.09,0.024
2457513.92883,bc,17.654,99.99,0.234,0.067
2457957.53326,bh,17.241,0.16261,0.487,0.073
2457424.82239,bg,17.935,99.99,0.179,0.051
2456632.15501,bd,16.645,99.99,0.214,0.169
2457926.81624,bc,17.741,99.99,0.227,0.061
2457530.60431,bh,18.424,99.99,-0.074,0.033
2456892.47534,bf,17.213,99.99,0.353,0.1
2457252.50758,be,17.337,99.99,0.314,0.089
2456820.89052,bd,15.939,99.99,1.08,0.323
2457903.80054,bc,17.492,99.99,0.172,0.077
2456804.87852,bd,17.641,99.99,0.065,0.067
2457049.0747,bc,17.65,99.99,0.219,0.067
2457590.46746,bh,18.52,99.99,-0.017,0.03
2457986.50243,bg,17.728,99.99,0.253,0.062
2457088.70668,be,16.581,99.99,0.074,0.179
2457822.96239,bd,16.863,99.99,0.508,0.138
2457456.02212,bd,17.7,99.99,0.298,0.064
2457000.1608,bc,15.612,99.99,-0.019,0.437
2458303.65099,bh,17.874,0.17621,0.272,0.044
2457491.82199,bc,17.197,99.99,0.118,0.101
2457424.82276,bh,17.252,0.16316,0.482,0.072
2457560.65857,bg,17.135,99.99,0.157,0.107
2457164.85416,bc,17.68,99.99,0.313,0.065
2457934.66295,bg,17.682,99.99,0.223,0.065
2458207.01503,bd,17.209,99.99,-0.034,0.1
2457131.6702,bf,17.372,99.99,-0.024,0.086
2456743.9593,bd,17.572,99.99,0.129,0.072
2457573.61038,bh,18.018,0.17293,0.238,0.038
2457030.84749,bf,16.623,99.99,0.727,0.172
2458241.67537,bg,16.938,99.99,-0.118,0.129
2457439.73444,bg,16.443,99.99,0.07,0.203
2457094.81562,be,17.454,99.99,0.155,0.08
2456795.97025,bd,17.042,99.99,0.489,0.117
2457135.90619,bd,17.219,99.99,0.264,0.099
2456852.64016,be,16.773,99.99,0.017,0.15
2457405.11079,bd,17.74,99.99,0.124,0.061
2457793.01672,bc,16.639,99.99,0.001,0.17
2457822.96211,bc,17.019,99.99,0.076,0.12
2457788.10836,bd,17.569,99.99,-0.017,0.072
2458316.61389,bh,18.257,0.16182,0.191,0.028
2457622.49941,bh,17.843,0.17658,0.28,0.045
2457414.05815,bc,16.803,99.99,0.511,0.146
2457806.16243,bc,17.468,99.99,0.283,0.079
2457788.10799,bc,17.701,99.99,0.129,0.064
2456700.98424,bd,16.639,99.99,0.557,0.17
2457560.65827,bh,18.502,0.14386,0.152,0.02
2457534.72039,bh,18.134,0.1684,0.214,0.033
2457202.7947,bd,17.113,99.99,-0.121,0.11
2457573.61072,bg,18.088,99.99,0.201,0.045
2456633.15207,bc,17.078,99.99,-0.075,0.113
2458306.64636,bh,18.162,0.16706,0.209,0.032
2457155.59423,be,17.459,99.99,0.281,0.08
2458335.54848,bg,17.45,99.99,0.245,0.08
2457615.46604,bh,18.202,99.99,-0.25,0.04
2457072.77928,be,17.416,99.99,0.311,0.083
2456815.82622,bc,17.382,99.99,0.391,0.086
2456822.85182,bc,16.898,99.99,0.152,0.134
2457403.14771,bd,17.682,99.99,0.151,0.065
2458341.53437,bg,17.243,99.99,0.198,0.097
2457885.94271,bc,15.907,99.99,0.5,0.333
2457793.01708,bd,16.343,99.99,-0.49,0.223
2457122.97283,bc,17.162,99.99,0.123,0.105
2457831.94913,bc,17.505,99.99,0.21,0.076
2457783.79801,bh,18.66,99.99,0.051,0.026
2457002.15592,bd,16.316,99.99,-0.119,0.228
2457530.60446,bg,16.832,99.99,0.18,0.142
2457770.13746,bd,17.181,99.99,0.401,0.103
2457491.82209,bd,17.493,99.99,0.162,0.077
2457758.11614,bd,17.729,99.99,0.083,0.062
2458283.87377,bc,17.564,99.99,0.13,0.072
2458161.16871,bc,17.584,99.99,0.003,0.071
2457160.66137,bf,17.463,99.99,0.142,0.079
2457924.79574,bc,17.55,99.99,0.212,0.073
2458163.76762,bg,17.63,99.99,0.259,0.068
2457126.77503,bf,17.759,99.99,0.204,0.06
2457052.81729,bf,17.462,99.99,0.261,0.079
2457179.91381,bc,16.878,99.99,0.503,0.136
2456752.9749,bc,17.257,99.99,0.348,0.096
2457879.93674,bd,16.95,99.99,0.618,0.127
2457971.54842,bh,17.563,0.17469,0.362,0.058
2457466.11574,bd,18.005,99.99,0.152,0.048
