hjd,camera,mag,mag_err,flux,flux_err
2457546.6512,bg,13.334,0.02197,17.804,0.36
2458198.79972,bg,13.325,0.02199,17.943,0.363
2458017.50746,bg,13.288,0.02208,18.569,0.377
2457812.74409,bg,13.406,0.02187,16.648,0.335
2457821.91031,bg,13.279,0.0221,18.727,0.381
2458359.57479,bg,13.433,0.02185,16.248,0.327
2457480.70036,bg,13.354,0.02193,17.464,0.352
2458205.7291,bg,13.403,0.02187,16.703,0.336
2458172.75533,bg,13.384,0.02189,16.997,0.342
2457877.84204,bg,13.4,0.02188,16.745,0.337
2458204.74154,bg,13.378,0.0219,17.096,0.344
2457576.50938,bg,13.403,0.02187,16.704,0.336
2458201.84173,bg,13.301,0.02204,18.347,0.372
2458147.82688,bg,13.388,0.02189,16.93,0.341
2457927.76095,bg,13.395,0.02188,16.828,0.339
2458305.56276,bg,13.294,0.02206,18.459,0.375
2457872.65078,bg,13.402,0.02187,16.714,0.336
2458377.4972,bg,13.386,0.02189,16.96,0.342
2457939.60818,bg,13.359,0.02193,17.394,0.351
2458319.6605,bg,13.289,0.02208,18.557,0.377
2457609.49905,bg,13.409,0.02187,16.602,0.334
2458220.73135,bg,13.309,0.02202,18.209,0.369
2457771.85238,bg,13.267,0.02214,18.93,0.386
2458134.85656,bg,13.396,0.02188,16.812,0.338
2458142.83521,bg,13.379,0.0219,17.077,0.344
2458197.81096,bg,13.313,0.02202,18.149,0.368
2458194.8328,bg,13.297,0.02205,18.404,0.373
2457561.6894,bg,13.414,0.02186,16.531,0.333
2458162.79197,bg,13.406,0.02187,16.657,0.335
2457612.60047,bg,13.306,0.02203,18.262,0.37
2458143.83112,bg,13.415,0.02186,16.522,0.332
2457794.79403,bg,13.335,0.02197,17.785,0.359
2458135.85949,bg,13.35,0.02194,17.534,0.354
2457796.85047,bg,13.402,0.02187,16.719,0.336
2457826.70368,bg,13.275,0.02211,18.786,0.382
2458222.77526,bg,13.353,0.02194,17.489,0.353
2458308.73329,bg,13.398,0.02188,16.78,0.338
2457893.74071,bg,13.43,0.02185,16.291,0.328
2457913.62046,bg,13.346,0.02195,17.598,0.355
2458236.59421,bg,13.297,0.02205,18.41,0.374
2458347.52373,bg,13.407,0.02187,16.644,0.335
2457529.8503,bg,13.36,0.02193,17.377,0.351
2457848.81566,bg,13.315,0.02201,18.113,0.367
2458175.74913,bg,13.367,0.02191,17.256,0.348
2458230.82465,bg,13.331,0.02198,17.851,0.361
2458148.81868,bg,13.396,0.02188,16.813,0.338
2458323.60539,bg,13.369,0.02191,17.234,0.347
2458233.7525,bg,13.356,0.02193,17.435,0.352
2457807.75581,bg,13.391,0.02188,16.878,0.34
2458140.83976,bg,13.421,0.02186,16.428,0.33
2458150.81411,bg,13.337,0.02196,17.75,0.359
2457779.83855,bg,13.326,0.02199,17.928,0.363
2458311.71157,bg,13.425,0.02186,16.364,0.329
2458312.62158,bg,13.318,0.022,18.052,0.365
2457603.62801,bg,13.38,0.0219,17.065,0.344
2458126.86145,bg,13.298,0.02205,18.391,0.373
2457904.73069,bg,13.308,0.02203,18.232,0.369
2457637.54151,bg,13.27,0.02213,18.876,0.384
2458161.78474,bg,13.365,0.02192,17.297,0.349
2457856.7025,bg,13.33,0.02198,17.869,0.361
2457566.61489,bg,13.355,0.02193,17.457,0.352
2458363.56633,bg,13.436,0.02185,16.199,0.326
2458354.52173,bg,13.427,0.02186,16.331,0.328
2457960.6325,bg,13.324,0.02199,17.967,0.364
2457822.90946,bg,13.266,0.02214,18.944,0.386
2457971.62849,bg,13.296,0.02206,18.429,0.374
2457640.53524,bg,13.292,0.02207,18.49,0.375
2458301.73176,bg,13.319,0.022,18.048,0.365
2458384.49533,bg,13.416,0.02186,16.495,0.332
2458195.79819,bg,13.242,0.02222,19.367,0.396
2458366.55557,bg,13.406,0.02187,16.659,0.335
2458329.66159,bg,13.297,0.02205,18.416,0.374
2457760.86541,bg,13.375,0.0219,17.132,0.345
2457791.85313,bg,13.398,0.02188,16.78,0.338
2458180.73406,bg,13.298,0.02205,18.396,0.373
2458171.75995,bg,13.421,0.02186,16.425,0.33
2458244.83391,bg,13.303,0.02204,18.318,0.371
2457876.61464,bg,13.315,0.02201,18.108,0.367
2457923.77979,bg,13.327,0.02198,17.91,0.362
2457915.73008,bg,13.356,0.02193,17.444,0.352
2457800.77633,bg,13.328,0.02198,17.891,0.362
2458145.82746,bg,13.403,0.02187,16.702,0.336
2458243.90476,bg,13.345,0.02195,17.612,0.356
2457475.89278,bg,13.329,0.02198,17.876,0.361
2457838.67054,bg,13.425,0.02186,16.361,0.329
2457633.56768,bg,13.346,0.02195,17.599,0.355
2457618.4698,bg,13.296,0.02206,18.428,0.374
2457828.81122,bg,13.403,0.02187,16.699,0.336
2457595.63806,bg,13.46,0.02185,15.839,0.318
2457486.68795,bg,13.409,0.02187,16.611,0.334
2457803.84188,bg,13.319,0.022,18.041,0.365
2458188.85971,bg,13.417,0.02186,16.493,0.332
2458022.48124,bg,13.344,0.02195,17.637,0.356
2457843.67447,bg,13.392,0.02188,16.864,0.34
2458334.65928,bg,13.365,0.02192,17.295,0.349
2458226.86236,bg,13.401,0.02187,16.731,0.337
2457831.82867,bg,13.393,0.02188,16.847,0.339
2457966.64163,bg,13.321,0.022,18.003,0.364
2457974.62153,bg,13.373,0.02191,17.173,0.346
