hjd,camera,mag,mag_err,flux,flux_err
2457649.55553,be,11.503,0.02,96.117,1.769
2457819.88434,be,11.522,0.02,94.393,1.737
2457869.80424,be,11.59,0.02,88.729,1.633
2457589.64064,be,11.479,0.02,98.237,1.808
2457652.60961,be,11.499,0.02,96.481,1.775
2457882.68355,be,11.623,0.02,86.053,1.583
2457957.69081,be,11.448,0.02,101.053,1.859
2457973.63474,bf,11.46,0.02,101.692,1.871
2457935.62065,bf,11.596,0.02,89.688,1.65
2457872.68818,bf,11.545,0.02,93.96,1.729
2457843.76433,bf,11.65,0.02,85.323,1.57
2458007.5164,be,11.471,0.02,98.948,1.821
2457557.66064,bf,11.602,0.02,89.21,1.641
2457466.89798,be,11.513,0.02,95.178,1.751
2457629.56174,bf,11.498,0.02,98.115,1.805
2457877.7051,be,11.476,0.02,98.523,1.813
2458182.83671,be,11.624,0.02,85.99,1.582
2457960.67578,bf,11.47,0.02,100.765,1.854
2458047.51141,be,11.499,0.02,96.458,1.775
2458038.54811,be,11.619,0.02,86.346,1.589
2457617.54646,be,11.541,0.02,92.817,1.708
2457612.52573,be,11.489,0.02,97.36,1.791
2458018.53008,bf,11.628,0.02,87.057,1.602
2457486.9226,be,11.465,0.02,99.535,1.831
2457849.84322,be,11.551,0.02,91.964,1.692
2458042.52064,be,11.605,0.02,87.482,1.61
2457792.88603,bf,11.462,0.02,101.457,1.867
2458003.50992,bf,11.479,0.02,99.931,1.839
2457566.81693,bf,11.493,0.02,98.61,1.814
2458180.8844,be,11.461,0.02,99.863,1.837
2457645.60409,bf,11.427,0.02,104.759,1.928
2457838.77978,be,11.472,0.02,98.836,1.819
2457827.8399,bf,11.531,0.02,95.247,1.753
2458167.87344,be,11.455,0.02,100.399,1.847
2457633.58593,be,11.63,0.02,85.51,1.573
2458224.93058,be,11.494,0.02,96.915,1.783
2457653.50937,be,11.631,0.02,85.419,1.572
2457813.84481,be,11.672,0.02,82.247,1.513
2457484.85088,be,11.654,0.02,83.588,1.538
2457830.80391,bf,11.568,0.02,92.001,1.693
2457839.78217,be,11.61,0.02,87.054,1.602
2457939.59467,bf,11.661,0.02,84.499,1.555
2457522.74834,be,11.457,0.02,100.216,1.844
2458223.91546,be,11.468,0.02,99.27,1.827
2458347.53019,be,11.626,0.02,85.776,1.578
2457864.90093,bf,11.429,0.02,104.597,1.925
2457653.50907,bf,11.619,0.02,87.782,1.615
2458043.51407,be,11.45,0.02,100.902,1.857
2457660.53086,bf,11.571,0.02,91.763,1.688
2458018.53039,be,11.626,0.02,85.777,1.578
2458042.52036,bf,11.54,0.02,94.415,1.737
2457676.5263,be,11.631,0.02,85.413,1.572
2457666.54474,bf,11.644,0.02,85.818,1.579
2458175.85247,be,11.685,0.02,81.274,1.495
2458157.88915,bf,11.442,0.02,103.348,1.902
2457659.53445,bf,11.529,0.02,95.386,1.755
2458163.89375,be,11.479,0.02,98.242,1.808
2457676.52602,bf,11.655,0.02,84.919,1.563
2457818.88988,be,11.451,0.02,100.832,1.855
2457870.72357,be,11.513,0.02,95.181,1.751
2458191.91374,bf,11.599,0.02,89.438,1.646
2457830.80361,be,11.594,0.02,88.383,1.626
2458235.85891,be,11.623,0.02,86.02,1.583
2457873.68772,be,11.563,0.02,90.904,1.673
2457623.68968,be,11.578,0.02,89.687,1.65
2457957.69065,bf,11.424,0.02,105.034,1.933
2458000.47696,be,11.45,0.02,100.936,1.857
2457662.52725,bf,11.527,0.02,95.572,1.759
2458358.64471,be,11.524,0.02,94.286,1.735
2458001.59837,bf,11.51,0.02,97.078,1.786
2458193.89953,bf,11.456,0.02,102.014,1.877
2458193.89923,be,11.466,0.02,99.401,1.829
2457602.55808,be,11.465,0.02,99.549,1.832
2457610.51837,be,11.651,0.02,83.827,1.542
2457610.51814,bf,11.628,0.02,87.107,1.603
2458012.55665,be,11.575,0.02,89.939,1.655
2458001.59866,be,11.515,0.02,95.079,1.749
2458233.70496,be,11.45,0.02,100.9,1.857
2457612.5255,bf,11.49,0.02,98.908,1.82
2458010.61855,be,11.417,0.02,104.003,1.914
2457793.88556,be,11.658,0.02,83.283,1.532
2458179.84298,bf,11.532,0.02,95.09,1.75
2457566.81696,be,11.476,0.02,98.524,1.813
2457960.67595,be,11.463,0.02,99.726,1.835
2457944.66074,be,11.464,0.02,99.613,1.833
2458021.52006,be,11.569,0.02,90.446,1.664
2457619.64907,bf,11.483,0.02,99.499,1.831
2457666.54504,be,11.646,0.02,84.267,1.551
2458048.50446,bf,11.702,0.02,81.332,1.497
2458204.84923,be,11.516,0.02,94.977,1.748
2457590.65263,be,11.649,0.02,83.969,1.545
2457529.65418,be,11.485,0.02,97.742,1.798
2458021.51975,bf,11.549,0.02,93.648,1.723
2458195.89799,bf,11.642,0.02,85.955,1.582
