hjd,camera,mag,mag_err,flux,flux_err
2456981.13768,bd,17.202,99.99,0.242,0.101
2458303.46252,bh,17.529,99.99,0.016,0.075
2457077.95199,bd,17.789,99.99,0.183,0.059
2457000.77333,bf,16.902,99.99,0.242,0.133
2457123.62115,bf,17.947,99.99,0.228,0.051
2457395.77257,bh,18.088,99.99,0.072,0.045
2457376.74962,bh,17.34,99.99,0.301,0.089
2457799.94547,bd,17.316,99.99,0.15,0.091
2457769.83966,bh,17.113,99.99,0.377,0.11
2457129.64272,bf,17.958,99.99,0.14,0.05
2457844.81001,bd,17.978,99.99,0.148,0.049
2458137.78693,bh,17.931,99.99,0.04,0.052
2457103.83322,bd,17.534,99.99,0.318,0.074
2457873.5681,bh,17.958,99.99,0.025,0.05
2457023.72068,bf,17.555,99.99,0.333,0.073
2458095.84008,bh,17.178,99.99,0.14,0.103
2457729.75268,bh,17.951,0.17478,0.253,0.041
2458223.5983,bh,17.822,99.99,0.198,0.057
2457361.82367,bh,17.11,99.99,0.157,0.11
2457405.68451,bh,17.698,99.99,0.285,0.064
2458150.80077,bh,16.717,99.99,0.3,0.158
2457032.98342,bd,17.33,99.99,0.251,0.09
2458039.88143,bh,16.431,99.99,-0.2,0.205
2457910.53794,bh,17.36,99.99,0.288,0.087
2457877.55365,bh,17.539,99.99,0.155,0.074
2457858.5678,bh,17.713,99.99,0.075,0.063
2457064.85152,bf,17.507,99.99,0.104,0.076
2458125.79552,bh,17.432,99.99,0.165,0.082
2457322.86659,bh,16.822,99.99,0.241,0.143
2457424.78818,bh,17.168,0.15875,0.521,0.076
2458068.86323,bh,16.818,99.99,-0.042,0.144
2457802.76881,bh,17.816,99.99,-0.009,0.057
2458153.61347,bh,17.144,99.99,-0.048,0.107
2457747.77781,bh,18.128,99.99,0.132,0.043
2457803.91285,bd,17.886,99.99,0.015,0.054
2457373.7348,bh,16.835,0.13787,0.708,0.09
2457754.71435,bh,17.978,99.99,0.242,0.049
