hjd,camera,mag,mag_err,flux,flux_err
2458197.82266,bf,14.762,0.03566,4.558,0.15
2457451.76119,bf,14.201,0.02631,7.642,0.185
2457853.79156,bg,15.17,0.04143,3.69,0.141
2458194.79522,bf,14.794,0.03639,4.425,0.148
2458161.68314,bf,14.047,0.02473,8.807,0.2
2458104.83751,bf,15.121,0.04531,3.273,0.136
2458308.61067,bf,15.503,0.05961,2.304,0.126
2457874.79642,bf,15.088,0.04428,3.374,0.137
2457862.75864,bg,15.2,0.04228,3.589,0.14
2457830.65523,bf,14.06,0.02485,8.698,0.199
2458197.69036,bg,15.183,0.0418,3.646,0.14
2458323.49905,be,15.383,0.05265,2.696,0.131
2457877.58449,bg,15.553,0.05428,2.595,0.13
2457454.84688,bf,14.172,0.02599,7.846,0.188
2458215.74405,bf,15.034,0.04266,3.548,0.139
2457827.63368,bf,13.951,0.02392,9.617,0.212
2457843.65282,bf,14.44,0.02956,6.132,0.167
2458193.73527,bg,15.057,0.03842,4.095,0.145
2458213.67712,bf,14.978,0.04107,3.737,0.141
2457792.64422,be,13.641,0.02208,13.407,0.272
2458331.53328,bf,15.595,0.06375,2.116,0.124
2457437.67302,bg,14.632,0.02976,6.06,0.166
2457824.76115,be,14.122,0.02495,8.613,0.198
2458083.83704,be,15.311,0.05,2.881,0.133
2458072.85645,bg,16.327,0.09443,1.271,0.11
2458196.69743,be,14.896,0.0376,4.223,0.146
2457786.74457,bg,13.704,0.02194,14.243,0.288
2457836.72186,bg,14.506,0.0279,6.803,0.175
2457723.82135,bg,15.987,0.07441,1.739,0.119
2457811.7738,bg,13.796,0.02215,13.087,0.267
2458083.83695,bg,16.119,0.08177,1.54,0.116
2457803.74013,bg,13.605,0.02185,15.604,0.314
2458197.68998,be,14.887,0.03738,4.256,0.146
2457783.66171,bg,13.865,0.02239,12.277,0.253
2457831.62683,be,14.318,0.02711,7.189,0.179
2457534.65753,bg,15.801,0.06502,2.064,0.123
