hjd,camera,mag,mag_err,flux,flux_err
2458205.5434,be,12.52,0.02,37.674,0.693
2457686.83258,bg,12.61,0.02,35.118,0.646
2458169.5549,bg,13.136,0.02277,21.632,0.453
2458163.60203,bg,13.304,0.02207,18.531,0.376
2457800.7407,be,13.681,0.02219,12.932,0.264
2458081.80417,be,13.467,0.02185,15.744,0.316
2457795.54988,be,13.739,0.0224,12.252,0.252
2458183.70423,be,12.889,0.02,26.801,0.493
2458028.86109,be,12.646,0.02,33.545,0.617
2457924.47606,bg,11.68,0.02,82.699,1.522
2458201.75276,bg,12.619,0.02,34.831,0.641
2458041.8605,bg,12.883,0.02,27.306,0.502
2457468.62969,be,13.303,0.02204,18.311,0.371
2457423.72974,bg,13.932,0.02333,10.396,0.223
2457879.57494,bg,12.341,0.02,44.975,0.828
2457903.55428,be,11.737,0.02,77.45,1.425
2458012.90401,bg,12.497,0.02,38.983,0.717
2457806.83519,be,13.584,0.02196,14.133,0.285
2458041.86067,be,12.876,0.02,27.132,0.499
2458171.63896,bg,13.117,0.02288,22.018,0.463
2458087.73668,bg,13.548,0.02189,14.801,0.298
2458045.83214,bg,12.962,0.02,25.397,0.467
2457795.5502,bg,13.826,0.02272,11.462,0.24
2458199.73133,bg,12.662,0.02,33.481,0.616
2458185.54943,bg,12.845,0.02,28.284,0.52
2458028.86086,bg,12.659,0.02,33.559,0.617
2457435.84778,bg,13.852,0.02286,11.188,0.235
2457933.46141,be,11.813,0.02,72.224,1.329
2458210.68369,be,12.469,0.02,39.492,0.727
2458187.71858,bg,12.867,0.02,27.713,0.51
2457823.69959,be,13.317,0.02201,18.082,0.366
2458101.76656,bg,13.717,0.02227,12.668,0.26
2458176.72166,be,13.004,0.02358,24.106,0.523
2458121.77045,be,13.797,0.02265,11.621,0.242
2458165.76026,be,13.222,0.02229,19.725,0.405
2458188.73022,bg,12.826,0.02,28.782,0.53
2457728.78361,bg,13.418,0.02187,16.677,0.336
2457777.70563,bg,13.905,0.02316,10.655,0.227
2458121.77223,bg,13.821,0.0227,11.512,0.24
2458235.66055,bg,12.166,0.02,52.863,0.973
2458047.82566,be,12.987,0.02,24.494,0.451
2457873.52867,bg,12.472,0.02,39.861,0.733
2457689.80722,bg,12.686,0.02,32.736,0.602
2457768.67645,bg,13.909,0.02319,10.611,0.226
2458108.83569,bg,13.79,0.02256,11.842,0.246
2458165.76058,bg,13.216,0.02237,20.105,0.414
2458174.60518,bg,13.052,0.02331,23.368,0.501
2458169.55457,be,13.141,0.02266,21.255,0.443
2458236.55307,bg,12.11,0.02,55.647,1.024
2457829.59056,bg,13.242,0.02227,19.628,0.402
2458157.76923,be,13.391,0.02188,16.878,0.34
2458216.67877,bg,12.414,0.02,42.054,0.774
2457759.62839,be,13.818,0.02275,11.396,0.239
2458209.64473,be,12.478,0.02,39.157,0.72
2457831.59658,bg,13.22,0.02236,20.02,0.412
2457741.71388,bg,13.621,0.022,13.842,0.28
2458194.77339,be,12.751,0.02,30.451,0.56
2457834.61361,bg,13.151,0.02268,21.332,0.445
2457790.69582,be,13.794,0.02264,11.645,0.243
2458157.76955,bg,13.435,0.02186,16.428,0.33
2457561.46518,bg,11.57,0.02,91.478,1.683
2458194.77366,bg,12.713,0.02,31.95,0.588
2457529.56793,bg,12.136,0.02,54.322,1.0
2457448.59099,bg,13.701,0.02221,12.855,0.263
2457777.70533,be,13.931,0.02342,10.272,0.221
2457682.84046,bg,12.562,0.02,36.715,0.676
2457858.63212,bg,12.77,0.02,30.3,0.558
2457433.85292,bg,13.878,0.023,10.92,0.231
2458180.80605,bg,12.931,0.02,26.131,0.481
2458211.65856,be,12.505,0.02,38.201,0.703
2458087.7366,be,13.554,0.02191,14.535,0.293
2458160.77557,bg,13.383,0.02191,17.233,0.347
2457461.73507,bg,13.46,0.02185,16.051,0.323
2458190.78462,be,12.77,0.02,29.913,0.55
2457757.78333,be,13.813,0.02273,11.453,0.24
2458118.6515,be,13.747,0.02243,12.162,0.251
2457725.78158,be,13.343,0.02195,17.645,0.356
2457746.7237,bg,13.67,0.02212,13.232,0.269
2457879.57489,be,12.362,0.02,43.568,0.802
2457725.78168,bg,13.373,0.02193,17.397,0.351
2457457.66313,bg,13.513,0.02186,15.288,0.307
2457439.59835,bg,13.848,0.02284,11.224,0.236
2457826.64437,bg,13.298,0.02209,18.642,0.379
2457905.55299,bg,11.807,0.02,73.595,1.354
2457939.44761,bg,11.784,0.02,75.168,1.383
2457801.62998,be,13.652,0.02211,13.28,0.27
2458097.79981,bg,13.67,0.02212,13.232,0.269
2457738.74777,be,13.504,0.02186,15.223,0.306
2457844.72375,bg,13.011,0.02,24.266,0.446
2458166.61927,bg,13.25,0.02224,19.468,0.398
2458207.73955,be,12.537,0.02,37.087,0.682
2458013.90083,be,12.482,0.02,39.009,0.718
2458209.64495,bg,12.497,0.02,38.954,0.717
2458188.72994,be,12.815,0.02,28.697,0.528
2457797.54464,be,13.757,0.02247,12.052,0.249
2458204.72307,bg,12.606,0.02,35.252,0.649
2457789.80179,bg,13.832,0.02275,11.392,0.238
2457699.7968,be,12.891,0.02,26.773,0.493
2458379.89811,bg,13.056,0.02328,23.292,0.499
2458053.81008,bg,13.1,0.02298,22.363,0.473
2457433.85259,be,13.815,0.02274,11.422,0.239
2457753.80122,bg,13.764,0.02244,12.136,0.251
2457431.85786,be,13.9,0.02322,10.564,0.226
2458046.82892,bg,12.957,0.02,25.502,0.469
2458012.9043,be,12.464,0.02,39.649,0.73
2457767.78745,bg,13.881,0.02302,10.893,0.231
2458187.71828,be,12.805,0.02,28.97,0.533
2458153.71874,bg,13.482,0.02185,15.732,0.316
2458023.8933,be,12.589,0.02,35.337,0.65
2457836.70848,be,13.084,0.023,22.395,0.474
2457650.89348,bg,12.109,0.02,55.721,1.025
2458033.85996,bg,12.745,0.02,31.001,0.57
2457828.71792,bg,13.258,0.02221,19.33,0.395
2458189.77809,bg,12.79,0.02,29.743,0.547
2457722.74797,be,13.308,0.02203,18.229,0.369
2458195.77279,bg,12.715,0.02,31.879,0.587
2457854.68454,be,12.823,0.02,28.49,0.524
2458183.70453,bg,12.885,0.02,27.256,0.502
2457714.82151,be,13.165,0.02254,20.784,0.431
2457720.72443,be,13.307,0.02203,18.247,0.37
2457864.67294,be,12.671,0.02,32.787,0.603
2457816.61926,bg,13.431,0.02186,16.484,0.332
2457691.81268,be,12.737,0.02,30.847,0.568
2457812.62448,bg,13.527,0.02187,15.089,0.304
2457855.58069,bg,12.824,0.02,28.834,0.531
2457747.75381,be,13.668,0.02215,13.078,0.267
2457650.89375,be,12.114,0.02,54.719,1.007
2458153.71842,be,13.483,0.02185,15.515,0.312
2457437.63119,be,13.813,0.02273,11.453,0.24
2457858.63196,be,12.745,0.02,30.6,0.563
2458216.67858,be,12.422,0.02,41.234,0.759
2458067.79658,be,13.374,0.0219,17.159,0.346
2457895.57491,bg,11.969,0.02,63.385,1.166
2458036.86561,be,12.817,0.02,28.655,0.527
2457452.74707,bg,13.602,0.02196,14.082,0.285
2457729.8322,bg,13.448,0.02185,16.225,0.326
2458212.63937,bg,12.47,0.02,39.937,0.735
2457434.84848,bg,13.898,0.02312,10.727,0.228
2458171.63865,be,13.106,0.02286,21.946,0.462
2457688.8492,be,12.678,0.02,32.569,0.599
2457479.62008,be,13.129,0.02273,21.494,0.449
2458073.79575,bg,13.385,0.02191,17.206,0.347
2457479.6203,bg,13.115,0.02289,22.051,0.464
2458303.45126,bg,11.812,0.02,73.245,1.348
2457756.71211,bg,13.766,0.02245,12.113,0.25
2457789.80147,be,13.764,0.0225,11.973,0.248
2458176.72197,bg,13.053,0.02331,23.361,0.501
2458084.73002,bg,13.547,0.02188,14.811,0.298
2457844.72353,be,12.966,0.02,24.984,0.46
2457688.84909,bg,12.683,0.02,32.825,0.604
2458244.61725,bg,11.985,0.02,62.457,1.149
2457903.55419,bg,11.769,0.02,76.166,1.401
2457839.58318,bg,13.086,0.02307,22.65,0.481
2457477.73269,be,13.156,0.02258,20.974,0.436
2457834.61335,be,13.115,0.02281,21.767,0.457
2458108.83551,be,13.693,0.02223,12.786,0.262
2457559.49418,bg,11.537,0.02,94.35,1.736
2458189.7778,be,12.789,0.02,29.408,0.541
2457837.74552,be,13.087,0.02298,22.338,0.472
2457720.7245,bg,13.292,0.02211,18.745,0.381
2458101.7664,be,13.729,0.02236,12.365,0.254
2457915.51867,be,11.705,0.02,79.794,1.468
2457837.74577,bg,13.102,0.02297,22.331,0.472
2457429.86349,bg,13.902,0.02314,10.683,0.227
2458193.77841,bg,12.731,0.02,31.416,0.578
2457714.82155,bg,13.201,0.02244,20.384,0.421
2457420.64149,be,13.903,0.02323,10.533,0.225
2458080.73874,bg,13.487,0.02185,15.65,0.315
2458198.75561,bg,12.671,0.02,33.196,0.611
2457779.71872,be,13.873,0.02305,10.835,0.23
