hjd,camera,mag,mag_err,flux,flux_err
2458243.73696,be,14.986,0.0399,3.884,0.143
2457791.83937,be,14.749,0.03427,4.835,0.152
2457717.85679,bg,15.266,0.04801,3.037,0.134
2458161.65793,be,14.79,0.03515,4.657,0.151
2457555.47195,be,14.94,0.0387,4.056,0.144
2458175.78873,be,14.82,0.03582,4.526,0.149
2457944.55657,be,14.6,0.03138,5.545,0.16
2457753.74568,be,15.039,0.04134,3.701,0.141
2457827.7177,be,14.782,0.03497,4.689,0.151
2457836.72186,bg,14.732,0.03367,4.963,0.154
2458196.84653,be,14.969,0.03945,3.947,0.143
2457466.77017,bg,15.069,0.04185,3.639,0.14
2457486.77534,be,14.977,0.03966,3.917,0.143
2457440.77653,be,15.023,0.0409,3.755,0.141
2457764.71524,be,14.693,0.03313,5.089,0.155
2458180.70106,bg,14.81,0.03532,4.621,0.15
2457840.67768,bg,14.681,0.03266,5.202,0.156
2457799.79267,bg,14.632,0.03174,5.443,0.159
2457844.74508,bg,14.6,0.03117,5.607,0.161
2458085.83839,be,14.717,0.03361,4.98,0.154
2457845.77545,be,14.668,0.03264,5.206,0.156
2457753.74163,bg,15.004,0.04006,3.864,0.142
2457752.74984,be,14.816,0.03573,4.544,0.149
2458324.49925,be,14.817,0.03575,4.543,0.149
2458316.5358,be,14.832,0.03609,4.48,0.149
2457804.68004,bg,14.728,0.03359,4.984,0.154
2458205.61735,be,14.876,0.03712,4.299,0.147
2458192.76618,bg,14.975,0.03929,3.968,0.143
2457851.73963,bg,14.689,0.03281,5.165,0.156
2457777.69025,bg,14.713,0.03329,5.054,0.155
2457773.77903,be,14.648,0.03226,5.307,0.158
2458305.57185,be,14.785,0.03504,4.677,0.151
2458300.59621,be,14.814,0.03568,4.554,0.149
2458204.74595,be,14.884,0.03731,4.271,0.147
2457761.74261,bg,14.961,0.03893,4.021,0.144
2458210.61764,be,14.864,0.03683,4.35,0.147
2457916.5628,be,14.794,0.03524,4.637,0.15
2458189.77254,bg,14.943,0.03847,4.09,0.145
2457832.69193,be,14.652,0.03234,5.288,0.157
2458088.82484,be,14.753,0.03435,4.818,0.152
2457481.76298,bg,14.963,0.03898,4.012,0.144
2457447.79882,be,15.028,0.04104,3.737,0.141
2457762.71914,be,14.814,0.03568,4.554,0.149
2458245.65889,be,14.976,0.03963,3.921,0.143
2458085.84096,be,14.77,0.03471,4.74,0.151
2458186.72097,bg,14.926,0.03804,4.154,0.145
2457829.77763,be,14.65,0.0323,5.295,0.157
2458187.69003,be,14.911,0.03797,4.165,0.145
2458157.88571,be,14.757,0.03444,4.797,0.152
2457470.69266,bg,14.979,0.03939,3.954,0.143
2458314.54938,be,14.78,0.03493,4.699,0.151
2457843.66298,be,14.646,0.03222,5.313,0.158
2457727.81378,be,14.858,0.03669,4.371,0.148
2457820.72748,be,14.676,0.0328,5.172,0.156
2458174.64439,bg,14.808,0.03528,4.63,0.15
2458104.81209,be,14.745,0.03419,4.854,0.153
2457829.68206,bg,14.693,0.03289,5.146,0.156
2457784.78927,be,14.712,0.03351,5.0,0.154
2457942.5013,bg,14.762,0.03429,4.83,0.152
2457791.82709,bg,14.859,0.03643,4.416,0.148
2458164.63722,be,14.78,0.03493,4.699,0.151
2457958.50167,bg,14.699,0.03301,5.119,0.155
2457816.75995,be,14.612,0.0316,5.484,0.159
2457792.6488,be,14.72,0.03367,4.965,0.154
2457763.72272,bg,14.855,0.03634,4.433,0.148
2458233.6449,be,14.985,0.03987,3.891,0.143
2458172.69985,be,14.82,0.03582,4.527,0.149
2457709.85502,be,14.869,0.03695,4.328,0.147
2458185.71296,be,14.91,0.03794,4.168,0.146
2457816.80966,bg,14.705,0.03313,5.091,0.155
2458088.82109,bg,14.781,0.03469,4.744,0.151
2458074.8544,be,14.862,0.03678,4.356,0.147
2457486.69777,bg,15.006,0.04011,3.859,0.142
2458161.80955,bg,14.878,0.03688,4.34,0.147
2458167.60441,bg,14.864,0.03655,4.396,0.148
2457830.68161,be,14.62,0.03174,5.442,0.159
2458110.83307,be,14.726,0.03379,4.936,0.153
2458165.77327,bg,14.815,0.03543,4.598,0.15
2457534.65753,bg,15.054,0.04143,3.692,0.141
2457772.79308,bg,14.697,0.03297,5.13,0.156
2458333.48242,be,14.75,0.03429,4.828,0.152
2458181.73819,bg,14.75,0.03404,4.882,0.153
2457806.6865,bg,14.837,0.03593,4.508,0.149
2457802.8322,bg,14.68,0.03264,5.207,0.156
2458224.78403,be,14.85,0.0365,4.405,0.148
2457723.82135,bg,14.966,0.03906,4.003,0.144
