hjd,camera,mag,mag_err,flux,flux_err
2458144.77902,bg,12.648,0.02,33.473,0.616
2457968.5538,bg,12.873,0.02,27.212,0.501
2458206.82652,bg,12.914,0.02,26.192,0.482
2458225.72138,bg,12.615,0.02,34.522,0.635
2457983.50677,bg,12.919,0.02,26.073,0.48
2457752.85351,bg,12.861,0.02,27.504,0.506
2457621.50162,bg,12.814,0.02,28.742,0.529
2458334.54641,bg,12.717,0.02,31.403,0.578
2458344.52607,bg,12.647,0.02,33.49,0.616
2457879.80873,bg,12.981,0.02,24.636,0.453
2457837.80765,bg,12.668,0.02,32.853,0.604
2457595.58345,bg,12.754,0.02,30.36,0.559
2458319.61298,bg,12.717,0.02,31.407,0.578
2457767.81243,bg,12.889,0.02,26.82,0.493
2457821.71542,bg,12.853,0.02,27.718,0.51
2458148.76982,bg,12.763,0.02,30.098,0.554
2458174.72417,bg,12.746,0.02,30.59,0.563
2457828.78495,bg,12.906,0.02,26.396,0.486
2458198.70019,bg,12.925,0.02,25.925,0.477
2458227.78005,bg,12.834,0.02,28.194,0.519
2458228.74938,bg,12.997,0.02,24.267,0.447
2457889.76299,bg,12.686,0.02,32.309,0.594
2457843.61275,bg,12.888,0.02,26.843,0.494
2458224.71816,bg,12.651,0.02,33.375,0.614
2458238.61831,bg,12.688,0.02,32.274,0.594
2457777.78779,bg,12.703,0.02,31.819,0.585
2458244.66864,bg,12.826,0.02,28.422,0.523
2457959.58262,bg,12.74,0.02,30.753,0.566
2458336.55052,bg,12.639,0.02,33.741,0.621
2458191.84294,bg,12.887,0.02,26.851,0.494
2458354.49445,bg,12.908,0.02,26.337,0.485
2458196.67358,bg,12.66,0.02,33.098,0.609
2457784.76593,bg,12.815,0.02,28.699,0.528
2457869.78822,bg,12.682,0.02,32.436,0.597
2457790.75104,bg,13.068,0.0231,22.744,0.483
2457871.71498,bg,12.894,0.02,26.691,0.491
2457874.74344,bg,12.688,0.02,32.253,0.593
2458143.78312,bg,12.615,0.02,34.519,0.635
2458120.84287,bg,12.676,0.02,32.622,0.6
2458300.66265,bg,12.696,0.02,32.013,0.589
2457773.85273,bg,12.691,0.02,32.171,0.592
2458164.72706,bg,12.638,0.02,33.793,0.622
2458340.53646,bg,12.937,0.02,25.661,0.472
2457454.85157,bg,12.801,0.02,29.088,0.535
2458136.7998,bg,12.626,0.02,34.152,0.628
2458122.84126,bg,12.742,0.02,30.702,0.565
2458215.70225,bg,12.739,0.02,30.785,0.566
2457850.78962,bg,12.925,0.02,25.937,0.477
2457476.85358,bg,12.722,0.02,31.277,0.576
2458141.78786,bg,12.679,0.02,32.535,0.599
2457972.54714,bg,12.65,0.02,33.41,0.615
2458226.61412,bg,12.694,0.02,32.09,0.59
2457775.83654,bg,13.038,0.02331,23.383,0.502
2457561.48962,bg,12.911,0.02,26.275,0.483
2457833.7611,bg,12.773,0.02,29.821,0.549
2458128.82425,bg,12.601,0.02,34.962,0.643
2458140.79103,bg,12.811,0.02,28.818,0.53
2457782.77089,bg,12.886,0.02,26.887,0.495
2458172.73602,bg,12.666,0.02,32.925,0.606
2457439.72388,bg,12.73,0.02,31.038,0.571
2457894.74299,bg,12.994,0.02,24.348,0.448
2458121.84397,bg,12.587,0.02,35.398,0.651
2457437.78895,bg,12.525,0.02,37.498,0.69
2458203.708,bg,12.634,0.02,33.903,0.624
2458135.80385,bg,12.636,0.02,33.84,0.623
2457864.62375,bg,12.91,0.02,26.29,0.484
2458117.85731,bg,12.906,0.02,26.402,0.486
2457817.81177,bg,12.655,0.02,33.263,0.612
2458185.72223,bg,12.852,0.02,27.734,0.51
2457812.69051,bg,12.945,0.02,25.466,0.469
2457559.66991,bg,12.882,0.02,26.988,0.497
2458195.78993,bg,12.593,0.02,35.213,0.648
2457904.56933,bg,12.666,0.02,32.922,0.606
2458118.85137,bg,12.768,0.02,29.972,0.551
2458123.83457,bg,12.825,0.02,28.447,0.523
2457603.5277,bg,12.851,0.02,27.768,0.511
2457952.60963,bg,12.773,0.02,29.834,0.549
2458186.70909,bg,12.695,0.02,32.053,0.59
2457750.86282,bg,12.641,0.02,33.702,0.62
2458220.6832,bg,12.872,0.02,27.231,0.501
2457451.76447,bg,12.661,0.02,33.062,0.608
2458199.65258,bg,12.897,0.02,26.612,0.49
2457755.84227,bg,12.636,0.02,33.841,0.623
2458322.60091,bg,12.665,0.02,32.952,0.606
2458201.79954,bg,12.654,0.02,33.294,0.613
2458183.76933,bg,12.867,0.02,27.352,0.503
2457945.63053,bg,12.838,0.02,28.106,0.517
2458162.7322,bg,12.86,0.02,27.526,0.506
2457481.64981,bg,12.611,0.02,34.631,0.637
2458211.81493,bg,12.708,0.02,31.682,0.583
2458233.68623,bg,12.682,0.02,32.452,0.597
2458217.75316,bg,12.593,0.02,35.223,0.648
2457479.73021,bg,12.889,0.02,26.807,0.493
2457794.739,bg,12.537,0.02,37.069,0.682
2457614.49958,bg,12.742,0.02,30.697,0.565
2457970.5273,bg,12.775,0.02,29.766,0.548
2457796.7338,bg,12.737,0.02,30.838,0.567
2457915.66451,bg,12.825,0.02,28.43,0.523
2457851.64116,bg,12.78,0.02,29.647,0.546
