hjd,camera,mag,mag_err,flux,flux_err
2457863.10863,bb,16.221,0.09584,1.246,0.11
2457037.12821,ba,17.299,99.99,0.441,0.092
2456816.8975,bb,17.146,0.15752,0.532,0.077
2457781.1274,ba,16.227,0.09494,1.262,0.11
2457544.89967,ba,17.694,0.17652,0.327,0.053
2456352.12633,ba,17.403,99.99,0.302,0.084
2457930.93262,bb,16.455,0.11147,1.005,0.103
2456784.94517,bb,17.742,99.99,0.188,0.061
2457081.04518,ba,17.249,99.99,0.051,0.097
2457985.76516,ba,16.66,0.12435,0.847,0.097
2457780.12986,bb,16.429,0.10969,1.028,0.104
2457061.05416,ba,16.521,99.99,0.452,0.189
2456811.91288,bb,17.478,0.17241,0.392,0.062
2457906.69584,bf,17.156,99.99,0.475,0.105
2457581.82396,ba,17.389,99.99,0.234,0.085
2456816.8832,ba,17.325,0.1657,0.459,0.07
2457212.80275,bb,17.489,0.17274,0.388,0.062
2457883.04592,bb,16.376,0.10608,1.08,0.105
2457396.156,ba,17.556,0.17404,0.371,0.059
2457049.1034,ba,17.228,0.16091,0.502,0.074
2456892.76035,ba,16.73,0.12925,0.794,0.094
2457605.80738,ba,17.563,0.17422,0.369,0.059
2456818.87535,ba,16.708,99.99,0.422,0.159
2457946.65807,bf,16.346,99.99,0.58,0.222
2457109.9777,bb,17.22,0.16154,0.497,0.074
2457122.92689,ba,17.083,99.99,0.383,0.113
2457409.11551,bb,17.563,99.99,0.233,0.072
2457787.06117,ba,16.417,0.1075,1.059,0.105
2457267.72754,ba,16.848,99.99,0.268,0.14
2457799.05917,ba,16.548,99.99,0.75,0.184
2456832.87015,bb,17.394,0.16947,0.423,0.066
2457437.05174,bb,17.3,99.99,0.179,0.092
2457626.76799,bb,17.269,0.164,0.475,0.072
2457136.88557,ba,17.383,0.16823,0.435,0.067
2456785.94769,bb,17.306,0.16575,0.458,0.07
2457478.04096,bb,17.571,99.99,0.352,0.072
2457844.93609,bb,16.057,0.08565,1.449,0.114
2456875.82302,bb,17.092,99.99,0.481,0.112
2456800.92895,bb,17.646,99.99,0.329,0.067
2457566.82021,bb,17.696,0.17672,0.32,0.052
2458184.07212,bb,17.101,0.15493,0.554,0.079
2457557.78669,ba,16.032,99.99,0.853,0.297
2457955.87159,bb,16.51,0.11528,0.955,0.101
2456783.81818,bb,17.282,99.99,0.269,0.094
2457472.02857,ba,16.665,99.99,0.04,0.166
2457529.9861,bb,16.685,99.99,0.254,0.163
2456751.08989,ba,17.598,99.99,0.2,0.07
2457576.89863,ba,17.447,99.99,0.168,0.081
2457618.76915,ba,16.495,99.99,-0.005,0.194
2456678.12416,ba,17.075,99.99,0.24,0.113
2457069.09251,bb,17.631,0.17597,0.34,0.055
2457768.12055,ba,16.249,0.09636,1.237,0.11
2456881.77875,ba,16.969,99.99,0.314,0.125
2456491.81435,ba,17.195,99.99,0.409,0.102
2456890.77456,bb,16.634,0.12393,0.852,0.097
2457478.0337,ba,17.366,99.99,0.432,0.087
2456490.83432,bb,17.299,99.99,0.329,0.092
2457973.8267,bb,16.479,0.11313,0.983,0.102
2457240.79389,ba,17.419,99.99,0.268,0.083
2457851.01369,ba,16.207,0.09367,1.286,0.111
2456659.13179,ba,17.405,99.99,0.301,0.084
2457945.88711,ba,16.674,0.12533,0.837,0.097
2457110.91351,ba,16.811,99.99,0.379,0.145
2457847.8923,ba,16.331,0.10172,1.147,0.107
2456402.0289,ba,16.96,0.14489,0.643,0.086
2457529.90159,ba,16.072,99.99,0.824,0.286
2457131.0183,bb,17.571,99.99,0.215,0.072
2457405.12873,bb,17.503,0.17316,0.383,0.061
2458110.16634,ba,16.233,99.99,0.64,0.246
2457496.04624,bb,17.499,0.17304,0.384,0.061
2456909.72979,ba,16.412,99.99,0.26,0.209
2457175.99715,ba,15.947,99.99,0.443,0.321
2457248.81344,ba,17.999,0.17408,0.247,0.04
2457398.12923,ba,17.402,0.169,0.427,0.066
2457480.05327,ba,17.417,0.16959,0.422,0.066
2456907.72623,bb,16.867,99.99,0.432,0.137
2457827.99546,bb,16.314,0.10192,1.144,0.107
2457508.88298,bb,17.675,99.99,0.231,0.065
2457196.80184,ba,17.243,0.16169,0.495,0.074
2457541.95585,ba,17.722,99.99,0.24,0.063
2456526.74989,ba,16.82,99.99,0.436,0.144
2457024.16167,bb,16.559,0.11869,0.913,0.1
2456892.77288,bb,16.727,0.13043,0.782,0.094
2457989.77976,bb,16.919,0.14351,0.655,0.086
2456365.03689,ba,17.736,0.17685,0.314,0.051
2457128.97289,ba,17.071,99.99,0.511,0.114
2457237.81935,ba,17.061,0.15131,0.586,0.082
2457047.10597,ba,17.586,0.17476,0.361,0.058
2456906.75139,bb,16.886,99.99,0.207,0.135
2456479.82666,ba,17.598,0.17502,0.357,0.057
2457514.98091,bb,17.379,0.16888,0.429,0.067
2457442.05813,bb,16.885,99.99,0.274,0.135
2457481.89897,ba,17.719,99.99,0.247,0.063
2457412.08701,ba,16.512,99.99,0.539,0.191
2457055.11527,bb,17.266,99.99,0.36,0.095
2456807.94013,ba,17.83,99.99,0.25,0.057
2456487.79061,ba,17.782,99.99,0.267,0.059
2457970.56134,be,16.43,99.99,0.692,0.206
2457494.8859,bb,17.425,99.99,0.33,0.082
2457548.81189,ba,17.617,0.17539,0.351,0.057
2457504.84787,ba,17.001,99.99,0.305,0.122
2457775.1199,bb,16.321,0.10239,1.136,0.107
2457883.92135,ba,16.217,99.99,0.542,0.25
2457550.9163,ba,17.37,0.16769,0.44,0.068
2456474.85037,ba,17.448,0.17074,0.41,0.064
2457789.08104,bb,16.343,0.10386,1.114,0.106
2457532.00924,bb,16.742,99.99,0.319,0.154
2457144.91666,bb,16.821,99.99,-0.05,0.143
2456479.89244,bb,17.435,0.17099,0.407,0.064
2457547.9724,bb,17.905,99.99,0.228,0.053
2457100.07469,ba,17.514,99.99,0.292,0.076
2457967.78285,bb,16.994,0.14837,0.612,0.084
2456787.93576,ba,16.819,0.13541,0.731,0.091
2456736.09831,bb,17.024,99.99,0.316,0.119
2457200.80411,bb,16.895,0.14192,0.67,0.087
2456772.95635,ba,17.45,99.99,0.185,0.08
2456832.85845,ba,17.594,99.99,0.279,0.07
2457538.03033,bb,17.375,99.99,0.417,0.086
2457609.79732,ba,17.463,0.17127,0.404,0.064
2457980.77517,ba,16.929,0.14285,0.661,0.087
2457878.90509,bb,16.277,0.09948,1.183,0.108
