hjd,camera,mag,mag_err,flux,flux_err
2458369.78361,bc,14.231,0.02568,8.054,0.19
2457380.70216,bd,14.28,0.02664,7.449,0.183
2457138.12387,bd,14.314,0.02706,7.219,0.18
2457979.92421,bc,14.25,0.02589,7.916,0.189
2458285.03879,bc,14.222,0.02559,8.119,0.191
2457212.04646,bd,14.343,0.02743,7.024,0.177
2458066.71682,bc,14.27,0.02611,7.766,0.187
2457298.84789,bc,14.314,0.02662,7.456,0.183
2457736.69528,bc,14.394,0.02763,6.927,0.176
2457275.72397,bc,14.27,0.02611,7.771,0.187
2457686.88544,bd,14.343,0.02743,7.027,0.177
2457323.82647,bd,14.189,0.02562,8.097,0.191
2457207.10745,bd,14.283,0.02668,7.428,0.182
2457549.07003,bd,14.266,0.02648,7.544,0.184
2458376.94964,bc,14.308,0.02654,7.508,0.183
2457974.05216,bc,14.204,0.0254,8.252,0.193
2457492.11934,bc,14.299,0.02644,7.566,0.184
2457892.08852,bc,14.278,0.0262,7.711,0.186
2458070.70233,bc,14.255,0.02594,7.875,0.188
2457008.72849,bd,14.327,0.02722,7.132,0.179
2458326.91767,bd,14.319,0.02712,7.18,0.179
2457702.79154,bd,14.323,0.02717,7.156,0.179
2457012.71187,bc,14.231,0.02568,8.05,0.19
2457696.81966,bc,14.237,0.02575,8.005,0.19
2457955.87492,bc,14.287,0.0263,7.651,0.185
2457650.89379,bd,14.302,0.02691,7.294,0.181
2457239.95142,bc,14.33,0.02681,7.35,0.181
2457674.91836,bd,14.219,0.02594,7.876,0.188
2458283.9758,bc,14.302,0.02648,7.541,0.184
2457319.86614,bd,14.326,0.02721,7.138,0.179
2458020.86103,bc,14.231,0.02568,8.05,0.19
2457652.79661,bd,14.321,0.02715,7.172,0.179
2458331.09995,bd,14.378,0.0279,6.8,0.175
2458097.7415,bd,14.264,0.02645,7.554,0.184
2457011.71274,bc,14.257,0.02596,7.859,0.188
2458379.85511,bd,14.226,0.02602,7.822,0.187
2458308.93109,bc,14.24,0.02578,7.989,0.189
2458233.12244,bd,14.351,0.02754,6.972,0.177
2457009.69118,bc,14.186,0.02522,8.39,0.195
2458320.90136,bd,14.426,0.02857,6.509,0.171
2457946.08259,bc,14.248,0.02587,7.931,0.189
2458413.82216,bc,14.233,0.0257,8.037,0.19
2457658.96763,bd,14.335,0.02733,7.076,0.178
2458012.84345,bc,14.254,0.02593,7.886,0.188
2457710.77809,bc,14.322,0.02671,7.407,0.182
2457137.12775,bd,14.289,0.02675,7.382,0.182
2457607.07561,bd,14.259,0.02639,7.589,0.184
2457164.09508,bd,14.272,0.02655,7.504,0.183
2458312.99737,bd,14.275,0.02658,7.481,0.183
2457530.0296,bc,14.279,0.02621,7.703,0.186
2457007.69651,bc,14.239,0.02577,7.991,0.189
2457964.89258,bd,14.281,0.02665,7.44,0.182
2458408.73971,bc,14.241,0.02579,7.976,0.189
2457275.90464,bd,14.295,0.02682,7.341,0.181
2457602.99786,bc,14.26,0.026,7.842,0.188
2458306.08368,bc,14.26,0.02599,7.844,0.188
2458071.81426,bd,14.272,0.02655,7.498,0.183
2457010.69746,bc,14.252,0.02591,7.896,0.188
2457327.86627,bd,14.251,0.0263,7.644,0.185
2458362.00879,bc,14.324,0.02673,7.398,0.182
2458033.72181,bc,14.245,0.02583,7.951,0.189
2457243.91502,bc,14.228,0.02565,8.073,0.191
2458449.72026,bc,14.244,0.02581,7.965,0.189
2457180.07029,bd,14.257,0.02637,7.608,0.185
2457978.87161,bd,14.241,0.02619,7.72,0.186
2457895.06679,bd,14.339,0.02738,7.05,0.178
2458056.73611,bd,14.296,0.02684,7.335,0.181
2457185.05272,bc,14.238,0.02576,7.999,0.19
2457937.92017,bc,14.236,0.02574,8.016,0.19
2457298.8218,bd,14.365,0.02772,6.883,0.176
2458044.89266,bd,14.246,0.02624,7.686,0.186
2458257.06657,bc,14.247,0.02585,7.935,0.189
2457688.79696,bc,14.207,0.02543,8.234,0.193
2458010.75954,bc,14.324,0.02673,7.398,0.182
2457138.099,bc,14.265,0.02605,7.805,0.187
2457695.79324,bd,14.252,0.02631,7.638,0.185
2457228.00706,bc,14.236,0.02574,8.016,0.19
2457506.11563,bd,14.24,0.02618,7.722,0.186
