hjd,camera,mag,mag_err,flux,flux_err
2457858.79997,be,15.65,0.06394,2.109,0.124
2458311.71588,be,15.593,0.06133,2.221,0.125
2458213.79467,be,15.606,0.06192,2.196,0.125
2457805.86592,be,15.561,0.05992,2.289,0.126
2458181.75749,be,15.926,0.07808,1.636,0.118
2457522.73553,be,15.644,0.06366,2.119,0.124
2457792.81853,be,16.042,0.08476,1.469,0.115
2457969.55804,be,15.499,0.05727,2.423,0.128
2458323.67384,be,15.945,0.07914,1.606,0.117
2458190.89574,be,15.628,0.06292,2.152,0.125
2457905.76099,be,15.662,0.0645,2.085,0.124
2458373.54225,be,15.577,0.06062,2.255,0.126
2457889.66663,be,15.553,0.05957,2.305,0.126
2458186.79757,be,15.591,0.06124,2.226,0.125
2458146.84884,be,15.884,0.07576,1.699,0.118
2457913.73808,be,15.29,0.04925,2.938,0.133
2457824.84388,be,15.618,0.06246,2.17,0.125
2458359.60987,be,15.961,0.08005,1.583,0.117
2457994.47292,be,15.328,0.05061,2.837,0.132
2458319.7026,be,15.648,0.06384,2.113,0.124
2457669.48584,be,15.731,0.06782,1.957,0.122
2458005.58036,be,15.969,0.0805,1.572,0.116
2457782.84515,be,15.905,0.07691,1.667,0.118
2457777.8703,be,16.006,0.08264,1.519,0.115
2458208.7151,be,15.962,0.0801,1.581,0.117
2457960.65176,be,15.762,0.06937,1.902,0.121
2457935.51231,be,15.581,0.0608,2.247,0.126
2458220.7196,be,15.531,0.05862,2.353,0.127
2457476.91576,be,16.252,0.09785,1.211,0.109
2457862.68329,be,15.64,0.06347,2.127,0.124
2457469.86737,be,15.424,0.05424,2.595,0.129
2458358.6078,be,15.632,0.0631,2.144,0.124
2458329.51505,be,16.117,0.08929,1.371,0.113
2458183.80418,be,15.783,0.07044,1.865,0.121
2458350.57877,be,15.614,0.06228,2.179,0.125
2457557.49072,be,15.624,0.06274,2.16,0.125
2457657.52465,be,15.628,0.06292,2.152,0.125
2457807.77725,be,15.721,0.06733,1.975,0.122
2458197.80303,be,15.569,0.06027,2.272,0.126
2457882.63835,be,16.003,0.08246,1.524,0.116
2458328.66367,be,16.132,0.09022,1.352,0.112
2457877.60908,be,15.772,0.06988,1.885,0.121
2457946.6821,be,15.775,0.07003,1.88,0.121
2458016.53096,be,15.576,0.06058,2.256,0.126
2458148.84432,be,15.634,0.0632,2.14,0.124
2458333.50065,be,15.614,0.06228,2.18,0.125
2457607.54174,be,15.763,0.06942,1.899,0.121
2458198.80225,be,16.113,0.08905,1.376,0.113
2457957.66251,be,15.496,0.05715,2.43,0.128
2457798.80729,be,15.646,0.06375,2.116,0.124
2458243.61817,be,15.64,0.06347,2.128,0.124
2458021.48542,be,15.54,0.05901,2.334,0.127
2457873.7676,be,15.797,0.07115,1.842,0.121
2458217.80343,be,15.859,0.07441,1.739,0.119
2458174.80287,be,15.818,0.07224,1.806,0.12
2457837.8121,be,15.569,0.06027,2.272,0.126
2458212.84106,be,15.523,0.05828,2.37,0.127
2457546.56609,be,16.035,0.08434,1.479,0.115
2458363.59762,be,15.581,0.0608,2.247,0.126
2457800.81774,be,15.904,0.07686,1.669,0.118
2457617.60874,be,16.04,0.08464,1.472,0.115
2457854.8666,be,15.579,0.06071,2.251,0.126
2458001.52414,be,15.712,0.06689,1.992,0.123
2458185.76763,be,16.304,0.10126,1.154,0.108
2458200.75252,be,15.821,0.0724,1.802,0.12
2458181.75622,be,15.867,0.07484,1.727,0.119
2457626.51559,be,15.792,0.0709,1.849,0.121
2457871.6366,be,15.691,0.06588,2.03,0.123
2457651.51447,be,15.59,0.0612,2.228,0.125
2458372.54599,be,15.743,0.06842,1.935,0.122
2458023.50551,be,15.648,0.06384,2.112,0.124
2457593.71312,be,15.614,0.06228,2.179,0.125
2458238.67318,be,15.566,0.06014,2.278,0.126
2457643.54743,be,15.791,0.07085,1.851,0.121
2457655.50003,be,15.864,0.07468,1.732,0.119
2458011.54494,be,15.563,0.06001,2.284,0.126
2458230.85556,be,15.899,0.07658,1.677,0.118
2457843.68232,be,15.875,0.07527,1.714,0.119
2457813.76314,be,15.664,0.06459,2.082,0.124
2458336.68306,be,16.011,0.08293,1.511,0.115
2457768.86865,be,15.848,0.07383,1.756,0.119
2458147.84848,be,15.705,0.06655,2.004,0.123
2457545.58426,be,15.592,0.06129,2.224,0.125
2457833.87653,be,15.565,0.06009,2.28,0.126
2457973.52892,be,15.876,0.07533,1.711,0.119
2458179.78768,be,15.579,0.06071,2.25,0.126
2458366.58697,be,15.78,0.07028,1.87,0.121
2457639.49811,be,15.67,0.06488,2.071,0.124
2457771.86014,be,15.84,0.0734,1.77,0.12
