hjd,camera,mag,mag_err,flux,flux_err
2457277.88501,bg,12.922,0.02,26.016,0.479
2457110.57517,be,12.92,0.02,25.474,0.469
2457085.62196,be,12.923,0.02,25.391,0.467
2457808.68138,bg,12.908,0.02,26.353,0.485
2457077.59193,be,12.962,0.02,24.492,0.451
2458009.8188,bg,12.984,0.02,24.57,0.452
2457971.90763,bg,12.97,0.02,24.886,0.458
2458074.80249,bg,12.961,0.02,25.082,0.462
2457444.67591,bg,12.926,0.02,25.904,0.477
2457268.83679,be,12.963,0.02,24.485,0.451
2458134.81591,ba,12.964,0.02,24.784,0.456
2458021.86593,bg,12.917,0.02,26.123,0.481
2456933.80646,be,12.959,0.02,24.555,0.452
2457883.45,bg,12.891,0.02,26.767,0.493
2457953.94396,bg,12.957,0.02,25.184,0.463
2457468.55939,bg,12.898,0.02,26.592,0.489
2456594.11014,ba,12.9,0.02,26.281,0.484
2457437.69603,bg,12.951,0.02,25.329,0.466
2457741.70594,bg,12.973,0.02,24.809,0.456
2456993.69782,be,12.938,0.02,25.052,0.461
2458129.61607,bg,12.952,0.02,25.288,0.465
2456936.09846,ba,12.936,0.02,25.419,0.468
2458022.86835,bg,12.919,0.02,26.07,0.48
2457829.58348,bg,12.919,0.02,26.087,0.48
2457856.5464,bg,12.914,0.02,26.195,0.482
2457589.94115,bg,13.01,0.02353,23.991,0.519
2457423.56619,bg,12.943,0.02,25.509,0.469
2457807.64879,bg,12.958,0.02,25.153,0.463
2456927.81839,be,12.936,0.02,25.096,0.462
2457700.65659,bg,12.894,0.02,26.689,0.491
2458079.63076,bg,12.927,0.02,25.899,0.477
2457982.88567,bg,12.972,0.02,24.83,0.457
2457385.72654,bg,12.941,0.02,25.554,0.47
2458125.71292,bg,13.055,0.02319,23.011,0.491
2457429.71775,bg,12.964,0.02,25.028,0.461
2457969.91932,bg,12.969,0.02,24.913,0.458
2457621.8684,bg,12.994,0.02,24.347,0.448
2457960.92346,bg,12.91,0.02,26.293,0.484
2457775.67478,bg,12.939,0.02,25.611,0.471
2457372.6222,bg,13.042,0.02328,23.294,0.499
2458032.85922,bg,12.955,0.02,25.234,0.464
2458152.81936,ba,12.946,0.02,25.175,0.463
2457833.60114,bg,12.963,0.02,25.036,0.461
2457384.82548,bg,12.998,0.02,24.239,0.446
2456991.68338,be,12.99,0.02349,23.875,0.516
2457424.70529,bg,12.887,0.02,26.854,0.494
2457426.7276,bg,12.984,0.02,24.557,0.452
2457396.54621,bg,12.97,0.02,24.88,0.458
2457375.55104,bg,12.973,0.02,24.805,0.456
2456977.86858,be,12.919,0.02,25.479,0.469
2457616.8964,bg,12.979,0.02,24.674,0.454
2456950.88533,be,12.904,0.02,25.838,0.475
2457287.89946,bg,12.939,0.02,25.609,0.471
2456629.87107,ba,12.936,0.02,25.445,0.468
2456734.75064,ba,12.95,0.02,25.113,0.462
2458004.82243,bg,13.01,0.02353,23.985,0.519
2457440.68316,bg,12.901,0.02,26.518,0.488
2457840.58865,bg,12.916,0.02,26.162,0.481
2457787.59796,bg,12.961,0.02,25.102,0.462
2457006.73283,be,13.007,0.02336,23.504,0.505
2457340.81463,bg,12.978,0.02,24.695,0.454
2457850.55904,bg,12.961,0.02,25.1,0.462
2457415.72208,bg,12.955,0.02,25.221,0.464
2457739.66023,bg,12.866,0.02,27.384,0.504
2456998.93711,ba,12.982,0.02,24.372,0.448
2457999.84042,bg,12.917,0.02,26.118,0.481
2457979.88842,bg,12.938,0.02,25.636,0.472
2457475.58773,bg,12.919,0.02,26.074,0.48
2457256.89455,be,12.921,0.02,25.44,0.468
2457097.60697,be,12.938,0.02,25.038,0.461
2456932.80995,be,12.975,0.02361,24.214,0.526
2458452.00497,ba,12.968,0.02,24.667,0.454
2458127.62746,bg,12.913,0.02,26.236,0.483
2457701.79339,bg,12.938,0.02,25.634,0.472
2457438.72555,ba,12.904,0.02,26.171,0.482
2457702.64953,bg,12.958,0.02,25.17,0.463
2457846.57217,bg,12.98,0.02,24.665,0.454
2457039.64717,be,12.952,0.02,24.734,0.455
2458012.80416,bg,12.988,0.02,24.473,0.45
2456993.94248,ba,12.918,0.02,25.866,0.476
2457789.75332,ba,12.9,0.02,26.265,0.483
2458152.68076,bg,11.598,0.02,88.025,1.62
2457419.74745,bg,12.976,0.02,24.749,0.455
2458085.62858,bg,12.946,0.02,25.439,0.468
2457715.72023,bg,12.915,0.02,26.172,0.482
2457336.72839,bg,12.968,0.02,24.92,0.459
2457399.76861,bg,12.96,0.02,25.124,0.462
2457318.79724,bg,12.98,0.02,24.664,0.454
2457324.0386,ba,12.928,0.02,25.612,0.471
2457746.62391,bg,12.924,0.02,25.968,0.478
2458124.89914,ba,12.952,0.02,25.034,0.461
2457866.5026,bg,12.99,0.02,24.426,0.449
2456984.71745,be,12.961,0.02,24.511,0.451
2457434.70229,bg,12.98,0.02,24.665,0.454
2458433.04413,ba,12.98,0.02,24.427,0.449
2457072.62259,be,12.973,0.02,24.261,0.446
2457407.68363,bg,12.958,0.02,25.152,0.463
2457431.70458,bg,12.949,0.02,25.378,0.467
2457709.85298,bg,12.971,0.02,24.864,0.458
2457694.68619,bg,12.966,0.02,24.968,0.459
2457265.84634,be,12.959,0.02,24.57,0.452
2457019.67608,be,12.963,0.02,24.47,0.45
2457018.9234,ba,12.968,0.02,24.683,0.454
2457796.64136,bg,12.955,0.02,25.228,0.464
2458173.56521,bg,12.951,0.02,25.331,0.466
2457994.8528,bg,13.037,0.02332,23.389,0.502
2457370.7446,bg,12.903,0.02,26.472,0.487
2457670.82696,bg,12.951,0.02,25.333,0.466
2457830.52257,bg,12.989,0.02,24.444,0.45
2457001.9494,ba,12.93,0.02,25.55,0.47
2458415.05472,ba,12.976,0.02,24.514,0.451
2456971.73206,be,12.977,0.02359,24.161,0.524
2457805.68019,bg,12.912,0.02,26.256,0.483
2456980.75122,be,12.963,0.02,24.478,0.45
2457319.83585,bg,12.917,0.02,26.135,0.481
2457439.5531,bg,12.931,0.02,25.8,0.475
2457129.51813,be,12.905,0.02,25.823,0.475
2457684.806,bg,12.911,0.02,26.282,0.484
2457066.60386,be,12.918,0.02,25.512,0.469
2457486.55092,bg,12.911,0.02,26.278,0.484
2457252.88147,be,12.94,0.02,25.006,0.46
2456992.93355,ba,12.928,0.02,25.638,0.472
2457119.51226,be,12.996,0.02344,23.741,0.512
2457801.54037,bg,12.919,0.02,26.085,0.48
2458146.65633,bg,12.964,0.02,25.017,0.46
2457378.53239,bg,12.906,0.02,26.383,0.485
2457609.89749,bg,12.964,0.02,25.011,0.46
2457061.65279,be,12.972,0.02,24.263,0.446
2456966.74153,be,12.923,0.02,25.399,0.467
2457836.58053,bg,12.922,0.02,25.999,0.478
