hjd,camera,mag,mag_err,flux,flux_err
2457322.7633,bd,13.914,0.0233,10.428,0.224
2457483.13215,bd,13.876,0.02307,10.802,0.229
2457910.99551,bd,13.881,0.0231,10.751,0.228
2457972.7432,bd,13.921,0.02335,10.361,0.223
2457111.11678,bd,14.144,0.02516,8.437,0.195
2457679.80278,bd,13.97,0.02369,9.911,0.216
2458029.76568,bd,13.851,0.02293,11.057,0.233
2457303.7998,bd,13.843,0.02289,11.14,0.235
2457662.77329,bd,13.928,0.0234,10.295,0.222
2457949.98409,bd,13.88,0.02309,10.759,0.229
2458055.74183,bd,14.027,0.02412,9.402,0.209
2457103.14254,bd,14.031,0.02415,9.369,0.208
2458337.8467,bd,13.872,0.02305,10.846,0.23
2457928.99602,bd,14.058,0.02438,9.136,0.205
2458328.96462,bd,13.993,0.02385,9.699,0.213
2457973.77772,bd,13.992,0.02385,9.711,0.213
2458063.73342,bd,13.943,0.0235,10.158,0.22
2457296.85566,bd,13.863,0.023,10.935,0.231
2458335.94464,bd,14.006,0.02395,9.587,0.211
2457687.77549,bd,14.059,0.02438,9.129,0.205
2458067.73235,bd,13.9,0.02322,10.563,0.226
2457262.87259,bd,13.891,0.02316,10.652,0.227
2457996.86614,bd,13.96,0.02361,10.002,0.217
2457212.89441,bd,13.863,0.023,10.928,0.231
2457586.90312,bd,14.009,0.02398,9.558,0.211
2457941.93941,bd,14.045,0.02427,9.244,0.206
2458079.69198,bd,13.873,0.02305,10.83,0.23
2458010.90078,bd,13.908,0.02327,10.484,0.224
2457706.71614,bd,13.956,0.02359,10.038,0.218
2457228.79113,bd,13.894,0.02318,10.626,0.227
2457938.84583,bd,13.864,0.023,10.922,0.231
2457840.1226,bd,13.941,0.02348,10.171,0.22
2457524.05494,bd,14.007,0.02396,9.572,0.211
2458004.76691,bd,13.895,0.02319,10.613,0.226
2457826.13958,bd,14.017,0.02404,9.487,0.21
2457643.88347,bd,13.863,0.023,10.929,0.231
2458307.91752,bd,14.031,0.02415,9.366,0.208
2457978.80607,bd,13.911,0.02329,10.46,0.224
2458262.08801,bd,13.945,0.02351,10.137,0.219
2457932.92541,bd,13.909,0.02327,10.474,0.224
2457504.07282,bd,13.901,0.02322,10.559,0.226
2457539.06443,bd,13.873,0.02305,10.83,0.23
2457242.94806,bd,13.852,0.02293,11.044,0.233
2457223.00882,bd,13.877,0.02308,10.794,0.229
2457668.83462,bd,13.937,0.02346,10.211,0.22
2457911.98398,bd,13.835,0.02284,11.217,0.236
2457697.74864,bd,14.019,0.02406,9.473,0.21
2457894.02293,bd,13.959,0.02361,10.005,0.217
2457659.87765,bd,13.944,0.0235,10.147,0.219
2457656.83565,bd,13.855,0.02295,11.012,0.233
