hjd,camera,mag,mag_err,flux,flux_err
2457454.94596,bd,16.809,0.1361,0.725,0.091
2457407.06827,bd,16.629,0.12358,0.855,0.097
2457679.07822,bd,16.595,0.12121,0.883,0.098
2457109.7752,bd,16.507,0.11507,0.957,0.101
2456795.75517,bd,17.53,0.17389,0.373,0.06
2457427.85847,bd,17.753,0.17697,0.304,0.05
2457397.84675,bd,17.762,99.99,0.08,0.06
2458037.12035,bd,17.328,99.99,0.208,0.09
2457113.86803,bd,16.688,0.12771,0.81,0.095
2457066.04039,bd,16.914,99.99,0.112,0.132
2457288.12648,bd,16.793,99.99,0.176,0.147
2457762.09785,bd,18.03,99.99,0.052,0.047
2458452.07815,bd,17.729,99.99,-0.013,0.062
2456278.05262,ba,17.911,99.99,0.183,0.053
2457105.8865,bd,17.721,99.99,0.255,0.063
2457158.73508,bd,16.865,99.99,0.619,0.138
2457829.87588,bd,17.636,99.99,0.284,0.068
2458380.13648,bd,16.74,99.99,0.049,0.154
2456736.88818,bd,17.429,99.99,0.226,0.082
2458033.10243,bd,17.165,99.99,0.326,0.104
2457785.05133,bd,17.899,0.17583,0.266,0.043
2457772.87719,bd,17.93,99.99,0.196,0.052
2457495.73385,bd,17.505,99.99,0.319,0.076
2458209.76735,bd,17.108,99.99,0.209,0.11
2457476.81874,bd,17.854,99.99,0.25,0.055
2457889.74061,bd,17.498,99.99,-0.045,0.077
2457431.84706,bd,16.835,0.13787,0.708,0.09
2457121.83051,bd,17.553,99.99,0.062,0.073
2457689.05949,bd,17.599,0.17543,0.35,0.056
2457509.77897,bd,17.89,99.99,0.23,0.054
2458233.80755,bd,17.23,99.99,-0.164,0.098
2458060.03887,bd,17.244,99.99,-0.007,0.097
2458235.7494,bd,17.325,99.99,0.088,0.09
2457131.79698,bd,17.604,99.99,0.15,0.07
2457447.88633,bd,17.725,99.99,-0.001,0.062
2457512.77954,bd,17.949,99.99,0.112,0.051
2456233.07012,ba,17.601,99.99,0.237,0.07
2456565.08723,ba,17.276,99.99,0.28,0.094
2457299.11185,bd,17.193,99.99,0.276,0.102
2457505.75501,bd,16.44,0.11044,1.018,0.103
2457003.02064,bd,17.482,99.99,0.102,0.078
2457310.08341,bd,17.306,0.16575,0.459,0.07
2457843.89326,bd,18.039,99.99,0.138,0.047
2457359.13313,bd,17.44,0.17116,0.405,0.064
2456788.75804,bd,16.212,0.09526,1.257,0.11
2457878.73391,bd,17.026,99.99,0.09,0.119
2457007.00226,bd,17.3,0.16547,0.461,0.07
2457446.94447,bd,17.655,99.99,0.164,0.067
2458419.05903,bd,16.205,0.09481,1.265,0.11
2457676.08334,bd,16.795,99.99,0.636,0.147
2457363.05066,bd,17.796,99.99,-0.137,0.058
2456980.00156,bd,17.593,99.99,0.066,0.07
2457323.04829,bd,17.018,99.99,0.107,0.12
2456936.11346,bd,17.218,99.99,0.294,0.099
2457112.82538,bd,17.211,99.99,0.375,0.1
2457034.95989,bd,17.054,0.15211,0.578,0.081
2458446.99567,bd,16.963,99.99,0.016,0.126
2457044.95092,bd,17.926,0.17533,0.259,0.042
2457342.99819,bd,17.624,99.99,-0.011,0.068
2457318.06174,bd,17.676,99.99,0.27,0.065
2456987.03607,bd,15.951,0.07948,1.598,0.117
2456935.11354,bd,17.458,99.99,0.203,0.08
2457134.75973,bd,17.112,0.15557,0.548,0.078
2457012.99758,bd,16.901,0.14232,0.666,0.087
2457077.78392,bd,17.528,99.99,0.156,0.075
2457779.04497,bd,17.8,0.17689,0.291,0.047
2457069.98541,bd,17.868,99.99,0.099,0.055
2456799.74469,bd,17.573,99.99,0.14,0.072
2457735.96968,bd,16.905,99.99,0.532,0.133
2457366.96461,bd,17.526,0.17379,0.375,0.06
2458252.74912,bd,17.907,99.99,0.243,0.053
2457788.81328,bd,17.655,99.99,0.099,0.067
2457757.10329,bd,17.866,0.17632,0.274,0.044
2456700.93701,bd,17.172,99.99,0.056,0.104
2457101.86004,bd,17.638,0.17608,0.338,0.055
2457405.83093,bd,16.604,0.12183,0.876,0.098
2458022.12451,bd,16.474,0.11278,0.987,0.102
2458183.94955,bd,17.669,99.99,0.113,0.066
2457811.86502,bd,18.098,99.99,0.182,0.044
2458098.16343,bd,16.631,0.12372,0.854,0.097
2457413.99153,bd,17.325,99.99,0.154,0.09
2458437.00373,bd,17.877,99.99,0.271,0.054
2457321.05264,bd,17.025,99.99,0.04,0.119
2457445.97867,bd,17.254,99.99,0.077,0.096
2458415.0644,bd,17.105,99.99,0.285,0.11
2457369.93525,bd,17.873,0.17623,0.272,0.044
2457800.76648,bd,16.309,0.10159,1.149,0.107
2456994.03083,bd,17.436,99.99,-0.026,0.081
2457800.01457,bd,16.223,0.09597,1.243,0.11
2457030.9489,bd,16.841,99.99,0.257,0.141
2457826.91699,bd,17.227,0.1619,0.493,0.073
2457096.87603,bd,17.851,99.99,0.21,0.056
2457306.1081,bd,16.341,0.10373,1.116,0.106
2457782.05423,bd,17.468,0.17209,0.395,0.063
2456981.00248,bd,17.831,99.99,0.132,0.057
2457458.8029,bd,17.885,99.99,0.224,0.054
2457042.94659,bd,17.965,99.99,0.075,0.05
2457037.05533,bd,17.159,0.15825,0.525,0.076
2456968.00205,bd,16.898,99.99,0.318,0.134
2457481.85652,bd,16.496,0.11431,0.967,0.102
2456556.10884,ba,16.592,99.99,0.258,0.177
2456618.95231,bd,17.191,0.16,0.51,0.075
2457159.74521,bd,16.134,0.09034,1.35,0.112
2456971.99767,bd,17.018,99.99,-0.145,0.12
2457422.94943,bd,17.656,0.17632,0.332,0.054
2457479.8892,bd,16.251,0.09778,1.212,0.109
2457387.89311,bd,17.617,99.99,0.194,0.069
2456924.12462,bd,17.797,99.99,0.108,0.058
2458086.95838,bd,17.203,99.99,-0.054,0.101
2458055.05163,bd,18.035,99.99,0.187,0.047
2457836.93616,bd,17.789,99.99,0.097,0.059
2457834.91813,bd,18.001,99.99,0.232,0.048
2457315.07113,bd,17.45,99.99,0.012,0.08
2457073.90815,bd,17.954,99.99,0.149,0.051
2458110.08087,bd,18.006,99.99,0.105,0.048
2456802.73732,bd,16.957,99.99,0.215,0.127
2457040.94623,bd,17.755,99.99,0.076,0.061
2458092.05807,bd,17.08,99.99,0.359,0.113
2456961.02846,bd,17.143,0.15735,0.533,0.077
2457869.8089,bd,17.844,99.99,0.126,0.056
2457128.80216,bd,17.751,99.99,0.2,0.061
2457762.84784,bd,17.248,99.99,0.248,0.097
2456637.95327,bd,17.423,99.99,0.193,0.082
2456652.01069,bd,17.634,99.99,0.223,0.068
2457404.02908,bd,17.249,0.16301,0.484,0.073
2456554.11876,ba,15.996,99.99,-0.449,0.307
2458402.09649,bd,17.795,99.99,0.223,0.058
2458195.83,bd,17.074,0.15332,0.568,0.08
2457425.02974,bd,17.991,0.17375,0.244,0.039
2457503.80805,bd,16.362,0.10514,1.094,0.106
2457051.93889,bd,17.328,99.99,0.284,0.09
2457661.12599,bd,17.572,0.17489,0.359,0.058
2456324.94117,ba,17.675,99.99,0.319,0.065
2457789.90883,bd,17.713,99.99,0.027,0.063
2457418.867,bd,17.871,99.99,0.151,0.055
2457489.74046,bd,17.956,99.99,0.171,0.05
2457333.14035,bd,16.597,0.12135,0.881,0.098
2457399.87048,bd,18.029,99.99,0.188,0.047
2457746.99301,bd,18.142,99.99,0.145,0.042
2457838.8771,bd,17.967,99.99,0.184,0.05
2457385.97182,bd,17.388,99.99,-0.004,0.085
2457038.95875,bd,17.37,0.16852,0.432,0.067
2457065.03991,bd,17.363,99.99,0.361,0.087
2456640.9871,bd,16.711,0.12932,0.794,0.094
2458409.08204,bd,17.764,99.99,0.265,0.06
2457098.93126,bd,17.947,99.99,0.137,0.051
2456316.92698,ba,17.231,99.99,0.391,0.098
2457324.0631,bd,16.93,99.99,-0.358,0.13
