hjd,camera,mag,mag_err,flux,flux_err
2456985.75152,bb,16.878,0.14078,0.68,0.088
2457320.85032,bb,16.989,99.99,0.036,0.123
2457353.71806,bb,17.48,99.99,0.311,0.078
2457327.83127,bb,18.052,0.17178,0.231,0.037
2458368.57773,bf,17.914,99.99,0.197,0.052
2458052.51453,bf,17.683,99.99,0.042,0.065
2458090.53054,bf,16.57,99.99,0.257,0.181
2456505.92186,bb,18.016,99.99,0.182,0.048
2457703.75951,bb,17.141,99.99,0.255,0.107
2456875.95889,bb,17.433,0.17092,0.408,0.064
2458343.89728,bb,18.079,99.99,0.096,0.045
2457504.09906,bb,17.24,99.99,0.23,0.098
2458434.79079,bb,17.997,99.99,-0.024,0.049
2456302.7109,bb,17.504,99.99,-0.094,0.076
2457491.11857,bb,17.698,99.99,0.286,0.064
2458074.78616,bb,17.936,99.99,0.243,0.051
2458365.72471,bf,17.778,99.99,-0.002,0.059
2456997.7418,bb,17.159,99.99,0.398,0.105
2456928.86424,bb,17.465,0.172,0.396,0.063
2457274.72709,bb,17.055,99.99,-0.494,0.116
2457995.75296,bb,17.566,99.99,0.184,0.072
2457939.91174,bb,17.341,99.99,0.171,0.089
2457970.8444,bb,17.323,99.99,-0.025,0.09
2457690.83685,bb,18.377,99.99,0.147,0.034
2457366.70372,bb,18.002,99.99,0.116,0.048
2458430.79934,bb,18.177,99.99,0.094,0.041
2457284.95632,bb,18.016,99.99,0.092,0.048
2457145.09813,bb,16.821,0.13692,0.717,0.09
2458390.9191,bb,17.536,99.99,0.004,0.074
2457575.04808,bb,18.394,99.99,0.108,0.034
2456993.72718,bb,17.29,99.99,0.3,0.093
2456532.88072,bb,17.928,99.99,-0.022,0.052
2457227.01069,bb,18.004,99.99,0.195,0.048
2457881.07444,bb,17.397,99.99,-0.017,0.084
2456902.85342,bb,17.547,99.99,0.25,0.073
2457243.89211,bb,18.017,99.99,0.211,0.048
2456892.92908,bb,18.059,0.17152,0.229,0.036
2457568.98351,bb,18.283,99.99,0.12,0.037
2457545.056,bb,18.315,99.99,0.133,0.036
2456477.98834,bb,17.891,99.99,0.003,0.054
2457627.01905,bb,17.906,99.99,0.066,0.053
2457273.96905,bb,18.312,99.99,0.044,0.036
2458072.58579,bf,17.984,99.99,0.149,0.049
2456523.91607,bb,17.078,99.99,0.251,0.113
2458296.9405,bb,16.862,99.99,0.008,0.138
2456868.95655,bb,18.005,99.99,0.141,0.048
2457615.81146,bb,17.112,99.99,0.224,0.11
2458068.60256,bf,17.993,99.99,0.14,0.049
2458442.7697,bb,17.173,99.99,0.227,0.104
2458350.60268,bf,17.445,99.99,0.009,0.081
2457941.09074,bb,18.057,99.99,0.19,0.046
2458055.59934,bf,17.187,99.99,0.102,0.102
2458298.07474,bb,16.748,99.99,-0.164,0.153
2457877.07948,bb,18.094,99.99,0.165,0.044
2456487.92966,bb,18.165,99.99,-0.0,0.042
2457013.69818,bb,17.577,99.99,0.109,0.071
2457204.93811,bb,16.886,99.99,0.033,0.135
2458070.5945,bf,18.005,99.99,0.127,0.048
2457869.92814,bf,16.356,99.99,-0.508,0.22
2457639.54733,bf,17.788,99.99,-0.01,0.059
2457585.87539,bb,17.357,99.99,-0.035,0.087
2457670.84792,bb,17.548,99.99,0.258,0.073
2457968.82634,bb,17.082,0.1538,0.564,0.08
2456516.92199,bb,18.103,99.99,-0.042,0.044
2457493.11546,bb,17.718,99.99,0.118,0.063
2457245.97558,bb,17.759,99.99,-0.003,0.06
2456866.97441,bb,17.845,99.99,0.255,0.056
2457509.1061,bb,17.323,0.16652,0.452,0.069
2458324.92577,bb,17.41,99.99,0.078,0.083
2457198.05562,bb,18.019,99.99,0.079,0.048
2457581.08573,bb,18.067,99.99,-0.019,0.046
2457587.11528,bb,18.193,99.99,0.055,0.041
2458010.86213,bb,17.677,0.17655,0.326,0.053
2456391.13123,bb,17.448,99.99,0.4,0.081
2456266.70639,bb,17.338,99.99,0.109,0.089
2457911.9057,bf,17.852,99.99,0.072,0.055
2457211.103,bb,17.309,99.99,0.155,0.091
2457970.07261,bb,18.07,0.17111,0.227,0.036
2458048.72474,bb,17.901,99.99,0.066,0.053
2458379.53514,bf,17.129,99.99,0.225,0.108
2458101.70061,bb,17.256,0.16336,0.48,0.072
2457889.88773,bf,17.313,99.99,0.235,0.091
2456511.89106,bb,17.992,99.99,0.171,0.049
2457955.9859,bb,18.116,99.99,0.172,0.044
2457978.03489,bb,17.653,99.99,0.131,0.067
2457370.69656,bb,17.684,99.99,0.303,0.065
2457915.81052,bf,17.137,99.99,-0.039,0.107
2457305.85103,bb,18.249,99.99,0.162,0.038
2456894.92342,bb,17.192,0.16006,0.509,0.075
2457323.78401,bb,17.339,99.99,0.241,0.089
2456981.77199,bb,17.021,0.15007,0.596,0.082
2458254.10319,bb,18.177,99.99,0.198,0.041
2456887.05964,bb,17.719,99.99,0.218,0.063
2457575.0506,bb,17.894,99.99,0.057,0.053
2456890.92253,bb,17.982,0.174,0.246,0.039
2458033.89566,bb,17.154,99.99,-0.082,0.106
2456920.87446,bb,17.81,0.17684,0.288,0.047
2458372.7255,bb,17.702,99.99,0.001,0.064
2457241.07257,bb,17.441,99.99,0.014,0.081
2456883.90691,bb,17.374,99.99,-0.034,0.086
2457184.10616,bb,17.732,99.99,0.248,0.062
2457001.71275,bb,17.682,99.99,0.182,0.065
2456472.96173,bb,17.685,99.99,0.208,0.065
2457999.86562,bb,17.301,99.99,0.335,0.092
2457263.01042,bb,17.124,99.99,-0.038,0.108
2456390.13388,bb,17.278,99.99,0.257,0.094
2458049.72825,bb,18.106,0.16965,0.22,0.034
2458082.52889,bf,17.605,99.99,0.26,0.07
2457680.71135,bb,17.922,99.99,0.251,0.052
2457600.00999,bb,18.065,99.99,0.176,0.046
2456752.14005,bb,16.165,99.99,-0.093,0.262
2457003.70479,bb,17.995,99.99,0.173,0.049
2457678.84652,bb,17.189,99.99,0.299,0.102
2458069.59933,bf,17.795,99.99,0.155,0.058
2457203.91887,bb,17.514,99.99,0.259,0.076
2457490.12183,bb,17.979,99.99,0.016,0.049
2458322.01957,bb,17.833,99.99,0.107,0.056
2458361.98561,bb,17.83,99.99,0.132,0.057
2458280.05945,bb,17.326,99.99,0.335,0.09
2456828.05479,bb,17.622,99.99,0.317,0.069
2458023.87623,bb,18.048,0.17192,0.232,0.037
2458369.77459,bf,17.669,99.99,-0.131,0.066
2458293.94834,bb,17.483,99.99,-0.068,0.078
2457736.69662,bb,17.272,99.99,0.21,0.095
