hjd,camera,mag,mag_err,flux,flux_err
2458216.7964,be,11.348,0.02,110.861,2.04
2458173.84924,be,11.247,0.02,121.597,2.237
2457634.55328,be,11.374,0.02,108.185,1.991
2457917.64704,bf,11.61,0.02,88.002,1.619
2457657.52465,be,11.395,0.02,106.148,1.953
2458023.50539,bf,11.491,0.02,98.2,1.807
2458306.58271,be,11.335,0.02,112.143,2.063
2457593.71312,be,11.397,0.02,105.931,1.949
2457639.49798,bf,11.434,0.02,103.434,1.903
2458000.47882,be,11.327,0.02,112.978,2.079
2457663.50282,bf,11.398,0.02,106.955,1.968
2457824.84388,be,11.293,0.02,116.618,2.146
2457546.56605,bf,11.435,0.02,103.321,1.901
2457905.76097,bf,11.353,0.02,111.436,2.05
2457869.82712,bf,11.538,0.02,93.985,1.729
2458368.58357,be,11.295,0.02,116.38,2.141
2457973.52879,bf,11.262,0.02,121.229,2.231
2457782.84528,bf,11.336,0.02,113.243,2.084
2457913.73804,bf,11.384,0.02,108.319,1.993
2458208.7151,be,11.438,0.02,101.982,1.876
2458136.86031,bf,11.246,0.02,123.056,2.264
2458336.68306,be,11.295,0.02,116.428,2.142
2457905.76099,be,11.358,0.02,109.78,2.02
2458213.79467,be,11.459,0.02,100.071,1.841
2458333.50065,be,11.432,0.02,102.567,1.887
2457786.83545,be,11.516,0.02,94.976,1.748
2458181.75622,be,11.515,0.02,95.072,1.749
2457639.49811,be,11.425,0.02,103.287,1.9
2457957.66251,be,11.229,0.02,123.704,2.276
2458181.75749,be,11.656,0.02,83.454,1.536
2457851.77857,bf,11.403,0.02,106.432,1.958
2458010.56851,be,11.261,0.02,120.044,2.209
2458305.59406,be,11.28,0.02,117.983,2.171
2457862.68329,be,11.274,0.02,118.705,2.184
2457972.67109,be,11.282,0.02,117.748,2.167
2457848.8196,bf,11.564,0.02,91.746,1.688
2458212.84106,be,11.505,0.02,95.943,1.765
2458365.58238,be,11.436,0.02,102.249,1.881
2457522.73553,be,11.62,0.02,86.31,1.588
2458182.75553,be,11.45,0.02,100.883,1.856
2457824.84401,bf,11.289,0.02,118.192,2.175
2457669.48584,be,11.53,0.02,93.739,1.725
2457790.8237,be,11.568,0.02,90.511,1.665
2458372.54599,be,11.438,0.02,102.02,1.877
2457566.63096,be,11.353,0.02,110.361,2.031
2457877.60908,be,11.319,0.02,113.897,2.096
2457980.64966,bf,11.503,0.02,97.032,1.785
2458229.77073,be,11.503,0.02,96.104,1.768
2457829.78065,bf,11.329,0.02,113.93,2.096
2457585.6415,bf,11.573,0.02,90.978,1.674
2458228.80003,be,11.479,0.02,98.213,1.807
2457934.62665,bf,11.481,0.02,99.106,1.824
2457655.50003,be,11.407,0.02,104.955,1.931
2458338.6766,be,11.425,0.02,103.211,1.899
2457827.72449,be,11.591,0.02,88.589,1.63
2458375.5393,be,11.437,0.02,102.137,1.879
2457833.87653,be,11.619,0.02,86.379,1.589
2457485.76018,be,11.604,0.02,87.554,1.611
2458328.66367,be,11.45,0.02,100.934,1.857
2457960.65176,be,11.493,0.02,97.002,1.785
2457835.83539,bf,11.316,0.02,115.333,2.122
2458366.58697,be,11.442,0.02,101.641,1.87
2458342.66751,be,11.294,0.02,116.455,2.143
2457625.52287,be,11.415,0.02,104.181,1.917
2458224.81953,be,11.448,0.02,101.128,1.861
2457972.67096,bf,11.325,0.02,114.411,2.105
2458241.8499,be,11.283,0.02,117.713,2.166
2457822.78623,bf,11.619,0.02,87.26,1.606
2458032.49252,bf,11.387,0.02,108.017,1.988
2457805.86605,bf,11.477,0.02,99.42,1.829
2458217.80343,be,11.489,0.02,97.327,1.791
2457889.66665,bf,11.31,0.02,115.909,2.133
2458149.84004,bf,11.563,0.02,91.882,1.691
2458197.80315,bf,11.461,0.02,100.864,1.856
2457786.83558,bf,11.557,0.02,92.326,1.699
2457843.68232,be,11.591,0.02,88.629,1.631
2458192.83014,be,11.46,0.02,99.988,1.84
2457768.86876,bf,11.507,0.02,96.762,1.78
2457548.54605,be,11.556,0.02,91.547,1.684
2457610.51955,bf,11.364,0.02,110.317,2.03
2457480.88485,be,11.664,0.02,82.847,1.524
2457649.5497,be,11.645,0.02,84.319,1.551
2457777.87042,bf,11.299,0.02,117.155,2.156
2458194.85488,be,11.239,0.02,122.497,2.254
2457469.86737,be,11.587,0.02,88.922,1.636
2458146.84897,bf,11.297,0.02,117.311,2.159
2457792.81867,bf,11.232,0.02,124.621,2.293
2457607.54174,be,11.549,0.02,92.145,1.695
2457873.7676,be,11.328,0.02,112.902,2.077
2458331.5041,be,11.28,0.02,118.06,2.172
2457994.47278,bf,11.231,0.02,124.747,2.295
2457630.53183,bf,11.383,0.02,108.387,1.994
2458174.80287,be,11.39,0.02,106.673,1.963
2457854.8666,be,11.677,0.02,81.859,1.506
2458211.72828,be,11.379,0.02,107.7,1.982
2458197.80303,be,11.482,0.02,97.963,1.803
2457837.8121,be,11.48,0.02,98.147,1.806
2457889.66663,be,11.311,0.02,114.668,2.11
2457946.68199,bf,11.271,0.02,120.205,2.212
2457649.54957,bf,11.602,0.02,88.606,1.63
2457893.76333,be,11.285,0.02,117.494,2.162
2458145.84942,be,11.44,0.02,101.859,1.874
2458165.80501,be,11.426,0.02,103.139,1.898
2457848.8195,be,11.562,0.02,91.034,1.675
2458134.86456,bf,11.49,0.02,98.234,1.808
2457575.74617,be,11.58,0.02,89.489,1.647
2458165.80514,bf,11.441,0.02,102.827,1.892
2457769.86445,be,11.624,0.02,85.981,1.582
2457944.51328,bf,11.573,0.02,91.021,1.675
2457834.88561,be,11.307,0.02,115.078,2.117
2458010.56838,bf,11.257,0.02,121.76,2.24
2457830.84718,be,11.279,0.02,118.092,2.173
2457566.63088,bf,11.387,0.02,108.0,1.987
2458148.84432,be,11.468,0.02,99.285,1.827
2458162.80713,be,11.274,0.02,118.611,2.182
2458360.56226,be,11.437,0.02,102.131,1.879
2457951.6037,bf,11.296,0.02,117.497,2.162
2457966.66142,be,11.326,0.02,113.106,2.081
2457869.82707,be,11.536,0.02,93.212,1.715
2457969.55804,be,11.416,0.02,104.13,1.916
2458173.84937,bf,11.236,0.02,124.131,2.284
2457522.73554,bf,11.653,0.02,84.572,1.556
2458032.49262,be,11.388,0.02,106.808,1.965
2458238.67318,be,11.45,0.02,100.864,1.856
2457585.64161,be,11.59,0.02,88.691,1.632
2458382.53864,be,11.423,0.02,103.402,1.903
2458185.76763,be,11.451,0.02,100.773,1.854
2458024.51041,bf,11.333,0.02,113.506,2.089
2457800.81774,be,11.509,0.02,95.562,1.758
2457923.57058,be,11.547,0.02,92.273,1.698
2457839.70051,be,11.439,0.02,101.926,1.875
2457651.51447,be,11.307,0.02,115.13,2.118
2458332.50822,be,11.293,0.02,116.592,2.145
2457803.8455,be,11.282,0.02,117.843,2.168
2457908.62494,be,11.352,0.02,110.467,2.033
2457771.86025,bf,11.315,0.02,115.38,2.123
2458133.86848,be,11.565,0.02,90.774,1.67
2458311.71588,be,11.365,0.02,109.16,2.009
2457660.50971,bf,11.46,0.02,100.958,1.858
2458150.83583,bf,11.447,0.02,102.254,1.881
2457622.63342,bf,11.579,0.02,90.473,1.665
2457834.88573,bf,11.335,0.02,113.298,2.085
2458227.81605,be,11.425,0.02,103.238,1.9
