hjd,camera,mag,mag_err,flux,flux_err
2458149.81844,bf,11.8,0.02,73.085,1.345
2458384.49544,bf,11.74,0.02,77.218,1.421
2457457.73605,bf,11.668,0.02,82.562,1.519
2457523.76451,bf,11.717,0.02,78.92,1.452
2457779.83868,bf,11.738,0.02,77.363,1.423
2457838.6704,bf,11.782,0.02,74.338,1.368
2457917.58776,bf,11.624,0.02,85.982,1.582
2458340.58313,bf,11.62,0.02,86.304,1.588
2458003.51191,bf,11.633,0.02,85.223,1.568
2458331.66628,bf,11.706,0.02,79.727,1.467
2458368.54848,bf,11.691,0.02,80.843,1.488
2458363.56635,bf,11.75,0.02,76.522,1.408
2457637.54154,bf,11.706,0.02,79.704,1.467
2457915.72981,bf,11.76,0.02,75.871,1.396
2457760.86562,bf,11.656,0.02,83.451,1.536
2457618.46975,bf,11.741,0.02,77.167,1.42
2457606.50959,bf,11.622,0.02,86.106,1.584
2457603.62789,bf,11.721,0.02,78.628,1.447
2457657.49048,bf,11.852,0.02,69.711,1.283
2457833.79523,bf,11.749,0.02,76.59,1.409
2458189.8328,bf,11.654,0.02,83.583,1.538
2458334.65916,bf,11.687,0.02,81.124,1.493
2458211.68659,bf,11.636,0.02,85.029,1.565
2457633.56769,bf,11.609,0.02,87.18,1.604
2457600.57484,bf,11.614,0.02,86.784,1.597
2458344.62702,bf,11.712,0.02,79.243,1.458
2458161.7848,bf,11.704,0.02,79.848,1.469
2457994.54965,bf,11.815,0.02,72.08,1.326
2457595.63791,bf,11.648,0.02,84.065,1.547
2458366.55562,bf,11.637,0.02,84.915,1.562
2457966.6415,bf,11.626,0.02,85.844,1.58
2457836.80868,bf,11.636,0.02,85.023,1.564
2458212.79932,bf,11.627,0.02,85.711,1.577
2458312.62138,bf,11.654,0.02,83.653,1.539
2458197.81082,bf,11.725,0.02,78.342,1.441
2457923.77953,bf,11.613,0.02,86.868,1.598
2458342.62899,bf,11.76,0.02,75.833,1.395
2458201.8416,bf,11.629,0.02,85.598,1.575
2457826.7036,bf,11.664,0.02,82.819,1.524
2457585.66851,bf,11.626,0.02,85.824,1.579
2458204.7414,bf,11.761,0.02,75.739,1.394
2457774.85578,bf,11.803,0.02,72.9,1.341
2457629.56605,bf,11.67,0.02,82.401,1.516
2458017.50757,bf,11.705,0.02,79.79,1.468
2457960.63236,bf,11.619,0.02,86.355,1.589
2457794.7941,bf,11.651,0.02,83.843,1.543
2458224.83224,bf,11.727,0.02,78.177,1.438
2457848.81548,bf,11.633,0.02,85.223,1.568
2458347.52367,bf,11.766,0.02,75.444,1.388
2458244.83491,bf,11.619,0.02,86.348,1.589
2458205.72896,bf,11.634,0.02,85.137,1.567
2458213.79073,bf,11.814,0.02,72.184,1.328
2457927.7607,bf,11.697,0.02,80.34,1.478
2458180.73403,bf,11.753,0.02,76.304,1.404
2458146.88113,bf,11.676,0.02,81.932,1.508
2457557.52567,bf,11.612,0.02,86.949,1.6
2458236.59397,bf,11.631,0.02,85.396,1.571
2458308.73308,bf,11.634,0.02,85.169,1.567
2458196.80111,bf,11.683,0.02,81.429,1.498
2458150.81422,bf,11.736,0.02,77.519,1.426
2457839.67426,bf,11.709,0.02,79.505,1.463
2458159.81715,bf,11.742,0.02,77.086,1.418
2458182.7285,bf,11.694,0.02,80.57,1.482
2458229.82897,bf,11.688,0.02,81.044,1.491
2458134.85674,bf,11.712,0.02,79.271,1.459
2458227.86134,bf,11.688,0.02,81.055,1.491
2457778.83109,bf,11.731,0.02,77.88,1.433
2457647.51705,bf,11.793,0.02,73.593,1.354
2458174.76962,bf,11.646,0.02,84.216,1.55
