hjd,camera,mag,mag_err,flux,flux_err
2457413.0693,bd,16.651,99.99,0.133,0.168
2457441.9467,bc,17.103,99.99,0.154,0.111
2457359.08586,bd,17.147,99.99,0.335,0.106
2456678.86917,bc,17.724,99.99,0.149,0.062
2457489.78322,bc,17.388,0.16924,0.425,0.066
2456981.09669,bd,17.523,99.99,0.23,0.075
2457393.00018,bc,18.126,99.99,0.075,0.043
2457068.96837,bd,17.464,99.99,0.114,0.079
2457777.8832,bc,18.241,99.99,0.138,0.039
2457448.89782,bc,17.682,0.1766,0.324,0.053
2456652.01459,bc,17.752,99.99,0.061,0.061
2457507.85411,bd,17.22,99.99,0.151,0.099
2458131.12115,bd,17.505,99.99,0.127,0.076
2456823.75227,bd,17.249,99.99,-0.158,0.097
2457048.04721,bc,18.087,99.99,0.167,0.045
2457705.10791,bd,17.393,99.99,-0.069,0.085
2455938.06825,ba,17.591,99.99,0.193,0.071
2458271.75041,bc,17.841,99.99,0.175,0.056
2457148.86809,bd,16.311,99.99,-0.283,0.229
2457890.80021,bc,18.189,99.99,0.092,0.041
2456993.06184,bc,18.075,0.17091,0.226,0.036
2457077.93367,bc,17.87,99.99,0.239,0.055
2457023.94008,bc,17.312,99.99,-0.094,0.091
2457428.97738,bc,18.026,99.99,0.186,0.047
2457511.84173,bc,18.031,99.99,0.133,0.047
2456324.02992,ba,17.422,99.99,-0.094,0.082
2457424.84508,bc,18.114,99.99,0.207,0.044
2456827.756,bd,17.262,99.99,-0.011,0.096
2457000.02253,bc,17.043,99.99,0.332,0.117
2458447.12323,bc,16.704,99.99,0.588,0.16
2457437.93451,bc,17.247,99.99,0.122,0.097
2456980.11146,bd,17.075,99.99,0.075,0.113
2457042.99135,bc,17.922,0.17541,0.26,0.042
2456806.80196,bd,17.284,99.99,-0.13,0.094
2457766.96954,bd,16.605,99.99,0.064,0.175
2458148.0258,bd,16.91,99.99,0.192,0.132
2457406.88895,bc,17.503,99.99,0.213,0.077
2457410.88706,bc,16.887,99.99,0.58,0.135
2457414.97942,bc,17.377,99.99,-0.047,0.086
2457439.85786,bc,16.979,99.99,0.584,0.124
2456961.14055,bd,17.581,99.99,0.184,0.071
2456682.8457,bc,17.996,99.99,0.131,0.049
2456314.0533,ba,17.933,99.99,-0.054,0.051
2457843.82453,bc,17.731,0.17692,0.31,0.05
2457016.96722,bc,17.863,99.99,0.226,0.055
2456797.79442,bc,17.983,99.99,0.076,0.049
2457070.96331,bd,17.56,99.99,0.017,0.073
2458140.07972,bd,17.696,99.99,0.293,0.064
2457172.74642,bc,17.389,99.99,0.295,0.085
2457423.86984,bd,17.365,99.99,0.23,0.087
2457109.75271,bd,17.054,99.99,0.468,0.116
