hjd,camera,mag,mag_err,flux,flux_err
2458071.81038,be,17.669,99.99,0.185,0.066
2457378.7978,be,17.722,99.99,-0.073,0.063
2456981.1374,ba,17.343,99.99,0.206,0.089
2456616.06253,ba,16.299,99.99,0.765,0.232
2456974.78888,be,17.27,99.99,0.459,0.095
2456639.00291,ba,16.539,99.99,0.714,0.186
2457042.73416,be,17.116,0.15581,0.546,0.078
2456948.85955,be,17.4,99.99,-0.017,0.084
2458086.77207,be,17.611,99.99,0.323,0.069
2458128.76034,be,17.716,99.99,0.074,0.063
2458095.83975,be,17.243,99.99,0.067,0.097
2457038.74641,be,17.449,0.17147,0.402,0.063
2457100.76289,be,17.556,0.17453,0.364,0.058
2457562.45763,be,17.667,99.99,0.125,0.066
2457851.51919,be,17.315,99.99,0.072,0.091
2456658.94802,ba,17.821,99.99,0.133,0.057
2457759.66436,be,17.667,0.17645,0.329,0.053
2457729.75235,be,17.336,0.16709,0.446,0.069
2457191.47784,be,17.914,99.99,0.185,0.052
2457350.81549,be,16.512,99.99,0.056,0.191
2457118.68105,be,17.2,99.99,0.282,0.101
2457424.78792,be,17.146,99.99,0.215,0.106
2457053.72112,be,16.909,0.14285,0.661,0.087
2457739.82724,be,17.274,99.99,0.415,0.094
2457139.5763,be,17.435,99.99,-0.002,0.081
2457725.8068,be,17.48,0.17247,0.391,0.062
2458150.80048,be,16.621,99.99,0.235,0.172
2457737.08811,ba,16.771,99.99,0.168,0.15
2456970.80097,be,16.734,0.13092,0.777,0.094
2457559.45532,be,17.178,99.99,0.011,0.103
2457032.72749,be,16.973,99.99,0.591,0.125
2457699.8297,be,17.652,0.17627,0.333,0.054
2456964.82088,be,17.0,0.14875,0.608,0.083
2458067.14945,ba,16.562,99.99,-0.024,0.182
2457018.75509,be,16.95,0.14554,0.637,0.085
2458132.78727,be,17.764,99.99,-0.043,0.06
2457479.63352,be,17.968,99.99,0.051,0.05
2457170.57202,be,17.285,99.99,0.234,0.094
2457444.81226,be,17.1,99.99,0.172,0.111
2457569.47247,be,17.707,99.99,0.206,0.063
2457008.70606,be,17.69,99.99,0.296,0.064
2458185.58936,be,17.613,99.99,-0.096,0.069
2458079.82802,be,17.648,99.99,0.011,0.067
2457720.77316,be,17.024,0.15026,0.595,0.082
2457769.83933,be,17.205,99.99,0.059,0.101
2456830.4728,be,17.437,99.99,0.069,0.081
2456989.10079,ba,17.738,99.99,0.155,0.062
2456988.7553,be,17.948,99.99,0.204,0.051
2457895.59881,be,17.589,99.99,0.006,0.071
2457035.74771,be,17.759,99.99,0.089,0.06
2457046.73752,be,17.923,99.99,0.231,0.052
2457067.82215,be,17.209,0.16096,0.501,0.074
2457901.57949,be,18.03,0.17254,0.235,0.037
2457877.55388,be,17.152,99.99,-0.158,0.106
2457772.74942,be,17.65,99.99,0.061,0.067
2458148.80525,be,17.015,99.99,0.441,0.12
2457023.74942,be,17.219,0.16148,0.497,0.074
2457015.76035,be,17.738,0.17694,0.308,0.05
2457103.8332,ba,17.84,99.99,0.07,0.056
2456973.79548,be,16.894,0.14185,0.671,0.088
2457176.52521,be,16.929,99.99,0.032,0.13
2457005.76961,be,17.25,99.99,0.465,0.097
